defect_id,asset_id,section_id,defect_type,severity,detected_date,overdue_days,status,location
DEF-TSK-00016,AST-ENG-0219,SEC-RKMP-BPL,RailGrindingDefect,2,2026-09-22,0,OPEN,KM-RKMP-BPL
DEF-TSK-00017,AST-S_A-0030,SEC-RKMP-BPL,AxleCounterCalibrationDefect,2,2026-09-28,0,OPEN,KM-RKMP-BPL
DEF-TSK-00018,AST-TRA-0392,SEC-RKMP-BPL,DropperReplacementDefect,2,2026-11-01,0,OPEN,KM-RKMP-BPL
DEF-TSK-00019,AST-ENG-0012,SEC-RKMP-BPL,RailGrindingDefect,4,2026-09-11,0,OPEN,KM-RKMP-BPL
DEF-TSK-00020,AST-S_A-0251,SEC-RKMP-BPL,AxleCounterCalibrationDefect,2,2026-09-16,0,OPEN,KM-RKMP-BPL
DEF-TSK-00021,AST-TRA-0151,SEC-RKMP-BPL,ContactWireReplacementDefect,5,2026-10-29,2,OPEN,KM-RKMP-BPL
DEF-TSK-00022,AST-ENG-0060,SEC-RKMP-BPL,RailGrindingDefect,3,2026-11-27,0,OPEN,KM-RKMP-BPL
DEF-TSK-00023,AST-S_A-0485,SEC-RKMP-BPL,AxleCounterCalibrationDefect,4,2026-11-11,0,OPEN,KM-RKMP-BPL
DEF-TSK-00024,AST-TRA-0049,SEC-RKMP-BPL,ContactWireReplacementDefect,4,2026-11-22,0,OPEN,KM-RKMP-BPL
DEF-TSK-00025,AST-ENG-0290,SEC-RKMP-BPL,JointWeldingDefect,3,2026-09-18,0,OPEN,KM-RKMP-BPL
DEF-TSK-00026,AST-S_A-0217,SEC-RKMP-BPL,SignalCableRenewalDefect,3,2026-10-28,0,OPEN,KM-RKMP-BPL
DEF-TSK-00027,AST-TRA-0208,SEC-RKMP-BPL,InsulatorReplacementDefect,3,2026-09-06,0,OPEN,KM-RKMP-BPL
DEF-TSK-00028,AST-ENG-0052,SEC-RKMP-BPL,SleeperRenewalDefect,4,2026-10-25,0,OPEN,KM-RKMP-BPL
DEF-TSK-00029,AST-S_A-0174,SEC-RKMP-BPL,PointMachineOverhaulDefect,3,2026-10-25,0,OPEN,KM-RKMP-BPL
DEF-TSK-00030,AST-TRA-0392,SEC-RKMP-BPL,OHEInspectionDefect,3,2026-09-10,0,OPEN,KM-RKMP-BPL
DEF-TSK-00031,AST-ENG-0286,SEC-RKMP-BPL,TrackTampingDefect,3,2026-10-15,0,OPEN,KM-RKMP-BPL
DEF-TSK-00032,AST-S_A-0220,SEC-RKMP-BPL,AxleCounterCalibrationDefect,3,2026-09-04,0,OPEN,KM-RKMP-BPL
DEF-TSK-00033,AST-TRA-0278,SEC-RKMP-BPL,OHEInspectionDefect,2,2026-09-12,0,OPEN,KM-RKMP-BPL
DEF-TSK-00034,AST-ENG-0364,SEC-RKMP-BPL,SleeperRenewalDefect,4,2026-11-10,0,OPEN,KM-RKMP-BPL
DEF-TSK-00035,AST-S_A-0019,SEC-RKMP-BPL,TurnoutAdjustmentDefect,3,2026-10-22,0,OPEN,KM-RKMP-BPL
DEF-TSK-00036,AST-TRA-0159,SEC-RKMP-BPL,InsulatorReplacementDefect,4,2026-11-26,0,OPEN,KM-RKMP-BPL
DEF-TSK-00037,AST-ENG-0469,SEC-RKMP-BPL,JointWeldingDefect,4,2026-09-17,0,OPEN,KM-RKMP-BPL
DEF-TSK-00038,AST-S_A-0446,SEC-RKMP-BPL,TurnoutAdjustmentDefect,2,2026-11-08,0,OPEN,KM-RKMP-BPL
DEF-TSK-00039,AST-TRA-0158,SEC-RKMP-BPL,OHEInspectionDefect,4,2026-11-10,0,OPEN,KM-RKMP-BPL
DEF-TSK-00040,AST-ENG-0374,SEC-RKMP-BPL,SleeperRenewalDefect,2,2026-09-26,0,OPEN,KM-RKMP-BPL
DEF-TSK-00041,AST-S_A-0416,SEC-RKMP-BPL,TurnoutAdjustmentDefect,4,2026-09-16,0,OPEN,KM-RKMP-BPL
DEF-TSK-00042,AST-TRA-0099,SEC-RKMP-BPL,ContactWireReplacementDefect,3,2026-09-30,0,OPEN,KM-RKMP-BPL
DEF-TSK-00043,AST-ENG-0072,SEC-RKMP-BPL,BallastCleaningDefect,5,2026-09-04,2,OPEN,KM-RKMP-BPL
DEF-TSK-00044,AST-S_A-0339,SEC-RKMP-BPL,TurnoutAdjustmentDefect,4,2026-09-13,0,OPEN,KM-RKMP-BPL
DEF-TSK-00045,AST-TRA-0100,SEC-RKMP-BPL,OHEInspectionDefect,4,2026-11-13,0,OPEN,KM-RKMP-BPL
DEF-TSK-00046,AST-ENG-0062,SEC-RKMP-BPL,BallastCleaningDefect,2,2026-11-24,0,OPEN,KM-RKMP-BPL
DEF-TSK-00047,AST-S_A-0332,SEC-RKMP-BPL,SignalCableRenewalDefect,3,2026-11-27,0,OPEN,KM-RKMP-BPL
DEF-TSK-00048,AST-TRA-0278,SEC-RKMP-BPL,DropperReplacementDefect,5,2026-10-29,2,OPEN,KM-RKMP-BPL
DEF-TSK-00049,AST-ENG-0210,SEC-RKMP-BPL,SleeperRenewalDefect,4,2026-11-27,0,OPEN,KM-RKMP-BPL
DEF-TSK-00050,AST-S_A-0234,SEC-RKMP-BPL,PointMachineOverhaulDefect,5,2026-11-11,2,OPEN,KM-RKMP-BPL
DEF-TSK-00051,AST-TRA-0415,SEC-RKMP-BPL,OHEInspectionDefect,4,2026-11-12,0,OPEN,KM-RKMP-BPL
DEF-TSK-00052,AST-ENG-0434,SEC-RKMP-BPL,JointWeldingDefect,4,2026-10-26,0,OPEN,KM-RKMP-BPL
DEF-TSK-00053,AST-S_A-0326,SEC-RKMP-BPL,TurnoutAdjustmentDefect,2,2026-11-19,0,OPEN,KM-RKMP-BPL
DEF-TSK-00054,AST-TRA-0374,SEC-RKMP-BPL,InsulatorReplacementDefect,5,2026-11-14,2,OPEN,KM-RKMP-BPL
DEF-TSK-00055,AST-ENG-0298,SEC-RKMP-BPL,BallastCleaningDefect,4,2026-09-16,0,OPEN,KM-RKMP-BPL
DEF-TSK-00056,AST-S_A-0461,SEC-RKMP-BPL,AxleCounterCalibrationDefect,5,2026-09-17,2,OPEN,KM-RKMP-BPL
DEF-TSK-00057,AST-TRA-0058,SEC-RKMP-BPL,OHEInspectionDefect,5,2026-09-04,2,OPEN,KM-RKMP-BPL
DEF-TSK-00058,AST-ENG-0027,SEC-RKMP-BPL,JointWeldingDefect,4,2026-10-25,0,OPEN,KM-RKMP-BPL
DEF-TSK-00059,AST-S_A-0253,SEC-RKMP-BPL,AxleCounterCalibrationDefect,5,2026-11-19,2,OPEN,KM-RKMP-BPL
DEF-TSK-00060,AST-TRA-0091,SEC-RKMP-BPL,OHEInspectionDefect,4,2026-09-24,0,OPEN,KM-RKMP-BPL
DEF-TSK-00061,AST-ENG-0025,SEC-RKMP-BPL,RailGrindingDefect,5,2026-10-06,2,OPEN,KM-RKMP-BPL
DEF-TSK-00062,AST-S_A-0417,SEC-RKMP-BPL,TurnoutAdjustmentDefect,5,2026-09-07,2,OPEN,KM-RKMP-BPL
DEF-TSK-00063,AST-TRA-0422,SEC-RKMP-BPL,InsulatorReplacementDefect,3,2026-11-22,0,OPEN,KM-RKMP-BPL
DEF-TSK-00064,AST-ENG-0322,SEC-RKMP-BPL,SleeperRenewalDefect,2,2026-11-11,0,OPEN,KM-RKMP-BPL
DEF-TSK-00065,AST-S_A-0429,SEC-RKMP-BPL,AxleCounterCalibrationDefect,2,2026-10-14,0,OPEN,KM-RKMP-BPL
DEF-TSK-00066,AST-TRA-0070,SEC-RKMP-BPL,ContactWireReplacementDefect,3,2026-10-15,0,OPEN,KM-RKMP-BPL
DEF-TSK-00067,AST-ENG-0184,SEC-RKMP-BPL,BallastCleaningDefect,2,2026-10-02,0,OPEN,KM-RKMP-BPL
DEF-TSK-00068,AST-S_A-0475,SEC-RKMP-BPL,AxleCounterCalibrationDefect,3,2026-11-23,0,OPEN,KM-RKMP-BPL
DEF-TSK-00069,AST-TRA-0425,SEC-RKMP-BPL,InsulatorReplacementDefect,4,2026-10-31,0,OPEN,KM-RKMP-BPL
DEF-TSK-00070,AST-ENG-0145,SEC-RKMP-BPL,TrackTampingDefect,3,2026-11-07,0,OPEN,KM-RKMP-BPL
DEF-TSK-00071,AST-S_A-0067,SEC-RKMP-BPL,AxleCounterCalibrationDefect,3,2026-10-27,0,OPEN,KM-RKMP-BPL
DEF-TSK-00072,AST-TRA-0468,SEC-RKMP-BPL,DropperReplacementDefect,3,2026-09-15,0,OPEN,KM-RKMP-BPL
DEF-TSK-00073,AST-ENG-0392,SEC-RKMP-BPL,BallastCleaningDefect,4,2026-11-12,0,OPEN,KM-RKMP-BPL
DEF-TSK-00074,AST-S_A-0048,SEC-RKMP-BPL,TurnoutAdjustmentDefect,2,2026-10-27,0,OPEN,KM-RKMP-BPL
DEF-TSK-00075,AST-TRA-0233,SEC-RKMP-BPL,OHEInspectionDefect,3,2026-10-19,0,OPEN,KM-RKMP-BPL
DEF-TSK-00076,AST-ENG-0300,SEC-RKMP-BPL,RailGrindingDefect,5,2026-11-24,2,OPEN,KM-RKMP-BPL
DEF-TSK-00077,AST-S_A-0044,SEC-RKMP-BPL,SignalCableRenewalDefect,2,2026-10-31,0,OPEN,KM-RKMP-BPL
DEF-TSK-00078,AST-TRA-0167,SEC-RKMP-BPL,DropperReplacementDefect,4,2026-11-21,0,OPEN,KM-RKMP-BPL
DEF-TSK-00079,AST-ENG-0158,SEC-RKMP-BPL,BallastCleaningDefect,3,2026-09-17,0,OPEN,KM-RKMP-BPL
DEF-TSK-00080,AST-S_A-0192,SEC-RKMP-BPL,SignalCableRenewalDefect,3,2026-11-06,0,OPEN,KM-RKMP-BPL
DEF-TSK-00081,AST-TRA-0240,SEC-RKMP-BPL,DropperReplacementDefect,4,2026-10-06,0,OPEN,KM-RKMP-BPL
DEF-TSK-00082,AST-ENG-0060,SEC-RKMP-BPL,BallastCleaningDefect,5,2026-11-17,2,OPEN,KM-RKMP-BPL
DEF-TSK-00083,AST-S_A-0295,SEC-RKMP-BPL,PointMachineOverhaulDefect,4,2026-11-03,0,OPEN,KM-RKMP-BPL
DEF-TSK-00084,AST-TRA-0148,SEC-RKMP-BPL,OHEInspectionDefect,3,2026-10-13,0,OPEN,KM-RKMP-BPL
DEF-TSK-00085,AST-ENG-0391,SEC-RKMP-BPL,SleeperRenewalDefect,4,2026-09-12,0,OPEN,KM-RKMP-BPL
DEF-TSK-00086,AST-S_A-0419,SEC-RKMP-BPL,AxleCounterCalibrationDefect,2,2026-09-12,0,OPEN,KM-RKMP-BPL
DEF-TSK-00087,AST-TRA-0046,SEC-RKMP-BPL,DropperReplacementDefect,3,2026-11-21,0,OPEN,KM-RKMP-BPL
DEF-TSK-00088,AST-ENG-0389,SEC-RKMP-BPL,JointWeldingDefect,4,2026-09-20,0,OPEN,KM-RKMP-BPL
DEF-TSK-00089,AST-S_A-0003,SEC-RKMP-BPL,TurnoutAdjustmentDefect,4,2026-09-07,0,OPEN,KM-RKMP-BPL
DEF-TSK-00090,AST-TRA-0425,SEC-RKMP-BPL,OHEInspectionDefect,2,2026-09-08,0,OPEN,KM-RKMP-BPL
DEF-TSK-00091,AST-ENG-0350,SEC-RKMP-BPL,JointWeldingDefect,2,2026-11-16,0,OPEN,KM-RKMP-BPL
DEF-TSK-00092,AST-S_A-0253,SEC-RKMP-BPL,SignalCableRenewalDefect,3,2026-11-08,0,OPEN,KM-RKMP-BPL
DEF-TSK-00093,AST-TRA-0368,SEC-RKMP-BPL,InsulatorReplacementDefect,3,2026-09-20,0,OPEN,KM-RKMP-BPL
DEF-TSK-00094,AST-ENG-0306,SEC-RKMP-BPL,SleeperRenewalDefect,5,2026-09-07,2,OPEN,KM-RKMP-BPL
DEF-TSK-00095,AST-S_A-0443,SEC-RKMP-BPL,TurnoutAdjustmentDefect,5,2026-11-05,2,OPEN,KM-RKMP-BPL
DEF-TSK-00096,AST-TRA-0092,SEC-RKMP-BPL,InsulatorReplacementDefect,2,2026-11-29,0,OPEN,KM-RKMP-BPL
DEF-TSK-00097,AST-ENG-0287,SEC-RKMP-BPL,JointWeldingDefect,3,2026-09-15,0,OPEN,KM-RKMP-BPL
DEF-TSK-00098,AST-S_A-0350,SEC-RKMP-BPL,SignalCableRenewalDefect,5,2026-10-30,2,OPEN,KM-RKMP-BPL
DEF-TSK-00099,AST-TRA-0255,SEC-RKMP-BPL,OHEInspectionDefect,5,2026-10-08,2,OPEN,KM-RKMP-BPL
DEF-TSK-00100,AST-ENG-0068,SEC-RKMP-BPL,JointWeldingDefect,4,2026-09-27,0,OPEN,KM-RKMP-BPL
DEF-TSK-00101,AST-S_A-0318,SEC-RKMP-BPL,PointMachineOverhaulDefect,4,2026-10-09,0,OPEN,KM-RKMP-BPL
DEF-TSK-00102,AST-TRA-0159,SEC-RKMP-BPL,DropperReplacementDefect,2,2026-09-06,0,OPEN,KM-RKMP-BPL
DEF-TSK-00103,AST-ENG-0287,SEC-RKMP-BPL,TrackTampingDefect,3,2026-10-23,0,OPEN,KM-RKMP-BPL
DEF-TSK-00104,AST-S_A-0159,SEC-RKMP-BPL,SignalCableRenewalDefect,3,2026-11-12,0,OPEN,KM-RKMP-BPL
DEF-TSK-00105,AST-TRA-0181,SEC-RKMP-BPL,DropperReplacementDefect,2,2026-10-18,0,OPEN,KM-RKMP-BPL
DEF-TSK-00106,AST-ENG-0252,SEC-RKMP-BPL,JointWeldingDefect,3,2026-10-19,0,OPEN,KM-RKMP-BPL
DEF-TSK-00107,AST-S_A-0248,SEC-RKMP-BPL,PointMachineOverhaulDefect,4,2026-09-13,0,OPEN,KM-RKMP-BPL
DEF-TSK-00108,AST-TRA-0141,SEC-RKMP-BPL,ContactWireReplacementDefect,2,2026-10-02,0,OPEN,KM-RKMP-BPL
DEF-TSK-00109,AST-ENG-0008,SEC-RKMP-BPL,JointWeldingDefect,4,2026-11-15,0,OPEN,KM-RKMP-BPL
DEF-TSK-00110,AST-S_A-0301,SEC-RKMP-BPL,TurnoutAdjustmentDefect,2,2026-09-13,0,OPEN,KM-RKMP-BPL
DEF-TSK-00111,AST-TRA-0387,SEC-RKMP-BPL,OHEInspectionDefect,4,2026-09-30,0,OPEN,KM-RKMP-BPL
DEF-TSK-00112,AST-ENG-0321,SEC-RKMP-BPL,JointWeldingDefect,3,2026-09-03,0,OPEN,KM-RKMP-BPL
DEF-TSK-00113,AST-S_A-0083,SEC-RKMP-BPL,SignalCableRenewalDefect,2,2026-11-16,0,OPEN,KM-RKMP-BPL
DEF-TSK-00114,AST-TRA-0496,SEC-RKMP-BPL,InsulatorReplacementDefect,2,2026-09-15,0,OPEN,KM-RKMP-BPL
DEF-TSK-00115,AST-ENG-0378,SEC-RKMP-BPL,JointWeldingDefect,5,2026-10-11,2,OPEN,KM-RKMP-BPL
DEF-TSK-00116,AST-S_A-0091,SEC-RKMP-BPL,PointMachineOverhaulDefect,2,2026-11-22,0,OPEN,KM-RKMP-BPL
DEF-TSK-00117,AST-TRA-0246,SEC-RKMP-BPL,ContactWireReplacementDefect,5,2026-10-25,2,OPEN,KM-RKMP-BPL
DEF-TSK-00118,AST-ENG-0122,SEC-RKMP-BPL,RailGrindingDefect,3,2026-11-17,0,OPEN,KM-RKMP-BPL
DEF-TSK-00119,AST-S_A-0382,SEC-RKMP-BPL,AxleCounterCalibrationDefect,4,2026-09-08,0,OPEN,KM-RKMP-BPL
DEF-TSK-00120,AST-TRA-0423,SEC-RKMP-BPL,InsulatorReplacementDefect,3,2026-10-15,0,OPEN,KM-RKMP-BPL
DEF-TSK-00121,AST-ENG-0455,SEC-RKMP-BPL,BallastCleaningDefect,3,2026-10-25,0,OPEN,KM-RKMP-BPL
DEF-TSK-00122,AST-S_A-0266,SEC-RKMP-BPL,AxleCounterCalibrationDefect,3,2026-09-12,0,OPEN,KM-RKMP-BPL
DEF-TSK-00123,AST-TRA-0089,SEC-RKMP-BPL,OHEInspectionDefect,5,2026-10-03,2,OPEN,KM-RKMP-BPL
DEF-TSK-00124,AST-ENG-0464,SEC-RKMP-BPL,SleeperRenewalDefect,3,2026-10-12,0,OPEN,KM-RKMP-BPL
DEF-TSK-00125,AST-S_A-0140,SEC-RKMP-BPL,PointMachineOverhaulDefect,4,2026-11-04,0,OPEN,KM-RKMP-BPL
DEF-TSK-00126,AST-TRA-0239,SEC-RKMP-BPL,InsulatorReplacementDefect,2,2026-11-09,0,OPEN,KM-RKMP-BPL
DEF-TSK-00127,AST-ENG-0392,SEC-RKMP-BPL,SleeperRenewalDefect,4,2026-11-19,0,OPEN,KM-RKMP-BPL
DEF-TSK-00128,AST-S_A-0277,SEC-RKMP-BPL,SignalCableRenewalDefect,2,2026-10-31,0,OPEN,KM-RKMP-BPL
DEF-TSK-00129,AST-TRA-0367,SEC-RKMP-BPL,InsulatorReplacementDefect,5,2026-11-08,2,OPEN,KM-RKMP-BPL
DEF-TSK-00130,AST-ENG-0021,SEC-RKMP-BPL,RailGrindingDefect,4,2026-11-11,0,OPEN,KM-RKMP-BPL
DEF-TSK-00131,AST-S_A-0489,SEC-RKMP-BPL,PointMachineOverhaulDefect,5,2026-10-09,2,OPEN,KM-RKMP-BPL
DEF-TSK-00132,AST-TRA-0278,SEC-RKMP-BPL,ContactWireReplacementDefect,2,2026-11-13,0,OPEN,KM-RKMP-BPL
DEF-TSK-00133,AST-ENG-0187,SEC-RKMP-BPL,TrackTampingDefect,4,2026-09-07,0,OPEN,KM-RKMP-BPL
DEF-TSK-00134,AST-S_A-0387,SEC-RKMP-BPL,SignalCableRenewalDefect,3,2026-11-19,0,OPEN,KM-RKMP-BPL
DEF-TSK-00135,AST-TRA-0118,SEC-RKMP-BPL,InsulatorReplacementDefect,5,2026-10-28,2,OPEN,KM-RKMP-BPL
DEF-TSK-00136,AST-ENG-0258,SEC-RKMP-BPL,JointWeldingDefect,4,2026-11-02,0,OPEN,KM-RKMP-BPL
DEF-TSK-00137,AST-S_A-0336,SEC-RKMP-BPL,SignalCableRenewalDefect,4,2026-09-24,0,OPEN,KM-RKMP-BPL
DEF-TSK-00138,AST-TRA-0150,SEC-RKMP-BPL,InsulatorReplacementDefect,3,2026-10-25,0,OPEN,KM-RKMP-BPL
DEF-TSK-00139,AST-ENG-0094,SEC-RKMP-BPL,JointWeldingDefect,3,2026-09-10,0,OPEN,KM-RKMP-BPL
DEF-TSK-00140,AST-S_A-0500,SEC-RKMP-BPL,SignalCableRenewalDefect,5,2026-09-29,2,OPEN,KM-RKMP-BPL
DEF-TSK-00141,AST-TRA-0288,SEC-RKMP-BPL,ContactWireReplacementDefect,2,2026-11-30,0,OPEN,KM-RKMP-BPL
DEF-TSK-00142,AST-ENG-0458,SEC-RKMP-BPL,BallastCleaningDefect,2,2026-10-17,0,OPEN,KM-RKMP-BPL
DEF-TSK-00143,AST-S_A-0101,SEC-RKMP-BPL,PointMachineOverhaulDefect,4,2026-09-04,0,OPEN,KM-RKMP-BPL
DEF-TSK-00144,AST-TRA-0211,SEC-RKMP-BPL,OHEInspectionDefect,4,2026-11-27,0,OPEN,KM-RKMP-BPL
DEF-TSK-00145,AST-ENG-0449,SEC-RKMP-BPL,RailGrindingDefect,2,2026-09-23,0,OPEN,KM-RKMP-BPL
DEF-TSK-00146,AST-S_A-0372,SEC-RKMP-BPL,AxleCounterCalibrationDefect,4,2026-10-25,0,OPEN,KM-RKMP-BPL
DEF-TSK-00147,AST-TRA-0162,SEC-RKMP-BPL,OHEInspectionDefect,2,2026-09-16,0,OPEN,KM-RKMP-BPL
DEF-TSK-00148,AST-ENG-0396,SEC-RKMP-BPL,RailGrindingDefect,4,2026-11-11,0,OPEN,KM-RKMP-BPL
DEF-TSK-00149,AST-S_A-0338,SEC-RKMP-BPL,SignalCableRenewalDefect,3,2026-11-14,0,OPEN,KM-RKMP-BPL
DEF-TSK-00150,AST-TRA-0282,SEC-RKMP-BPL,ContactWireReplacementDefect,4,2026-09-12,0,OPEN,KM-RKMP-BPL
DEF-TSK-00151,AST-ENG-0217,SEC-RKMP-BPL,JointWeldingDefect,5,2026-09-06,2,OPEN,KM-RKMP-BPL
DEF-TSK-00152,AST-S_A-0021,SEC-RKMP-BPL,PointMachineOverhaulDefect,2,2026-09-24,0,OPEN,KM-RKMP-BPL
DEF-TSK-00153,AST-TRA-0157,SEC-RKMP-BPL,InsulatorReplacementDefect,4,2026-09-07,0,OPEN,KM-RKMP-BPL
DEF-TSK-00154,AST-ENG-0350,SEC-RKMP-BPL,JointWeldingDefect,2,2026-09-21,0,OPEN,KM-RKMP-BPL
DEF-TSK-00155,AST-S_A-0001,SEC-RKMP-BPL,TurnoutAdjustmentDefect,5,2026-09-12,2,OPEN,KM-RKMP-BPL
DEF-TSK-00156,AST-TRA-0255,SEC-RKMP-BPL,ContactWireReplacementDefect,3,2026-10-16,0,OPEN,KM-RKMP-BPL
DEF-TSK-00157,AST-ENG-0421,SEC-RKMP-BPL,BallastCleaningDefect,4,2026-09-26,0,OPEN,KM-RKMP-BPL
DEF-TSK-00158,AST-S_A-0342,SEC-RKMP-BPL,AxleCounterCalibrationDefect,3,2026-09-23,0,OPEN,KM-RKMP-BPL
DEF-TSK-00159,AST-TRA-0231,SEC-RKMP-BPL,OHEInspectionDefect,5,2026-11-05,2,OPEN,KM-RKMP-BPL
DEF-TSK-00160,AST-ENG-0070,SEC-RKMP-BPL,RailGrindingDefect,5,2026-11-23,2,OPEN,KM-RKMP-BPL
DEF-TSK-00161,AST-S_A-0016,SEC-RKMP-BPL,AxleCounterCalibrationDefect,2,2026-09-12,0,OPEN,KM-RKMP-BPL
DEF-TSK-00162,AST-TRA-0296,SEC-RKMP-BPL,ContactWireReplacementDefect,3,2026-11-17,0,OPEN,KM-RKMP-BPL
DEF-TSK-00163,AST-ENG-0082,SEC-RKMP-BPL,BallastCleaningDefect,2,2026-11-10,0,OPEN,KM-RKMP-BPL
DEF-TSK-00164,AST-S_A-0228,SEC-RKMP-BPL,SignalCableRenewalDefect,4,2026-10-26,0,OPEN,KM-RKMP-BPL
DEF-TSK-00165,AST-TRA-0160,SEC-RKMP-BPL,ContactWireReplacementDefect,3,2026-11-13,0,OPEN,KM-RKMP-BPL
DEF-TSK-00166,AST-ENG-0159,SEC-RKMP-BPL,SleeperRenewalDefect,3,2026-09-09,0,OPEN,KM-RKMP-BPL
DEF-TSK-00167,AST-S_A-0083,SEC-RKMP-BPL,SignalCableRenewalDefect,4,2026-11-06,0,OPEN,KM-RKMP-BPL
DEF-TSK-00168,AST-TRA-0446,SEC-RKMP-BPL,ContactWireReplacementDefect,5,2026-10-25,2,OPEN,KM-RKMP-BPL
DEF-TSK-00169,AST-ENG-0347,SEC-RKMP-BPL,SleeperRenewalDefect,2,2026-09-18,0,OPEN,KM-RKMP-BPL
DEF-TSK-00170,AST-S_A-0009,SEC-RKMP-BPL,AxleCounterCalibrationDefect,5,2026-11-30,2,OPEN,KM-RKMP-BPL
DEF-TSK-00171,AST-TRA-0449,SEC-RKMP-BPL,DropperReplacementDefect,2,2026-11-20,0,OPEN,KM-RKMP-BPL
DEF-TSK-00172,AST-ENG-0026,SEC-RKMP-BPL,SleeperRenewalDefect,4,2026-10-25,0,OPEN,KM-RKMP-BPL
DEF-TSK-00173,AST-S_A-0010,SEC-RKMP-BPL,TurnoutAdjustmentDefect,4,2026-10-26,0,OPEN,KM-RKMP-BPL
DEF-TSK-00174,AST-TRA-0306,SEC-RKMP-BPL,DropperReplacementDefect,3,2026-10-22,0,OPEN,KM-RKMP-BPL
DEF-TSK-00175,AST-ENG-0284,SEC-RKMP-BPL,SleeperRenewalDefect,4,2026-11-09,0,OPEN,KM-RKMP-BPL
DEF-TSK-00176,AST-S_A-0007,SEC-RKMP-BPL,AxleCounterCalibrationDefect,4,2026-11-12,0,OPEN,KM-RKMP-BPL
DEF-TSK-00177,AST-TRA-0445,SEC-RKMP-BPL,InsulatorReplacementDefect,5,2026-10-08,2,OPEN,KM-RKMP-BPL
DEF-TSK-00178,AST-ENG-0481,SEC-RKMP-BPL,RailGrindingDefect,4,2026-09-18,0,OPEN,KM-RKMP-BPL
DEF-TSK-00179,AST-S_A-0107,SEC-RKMP-BPL,TurnoutAdjustmentDefect,3,2026-10-14,0,OPEN,KM-RKMP-BPL
DEF-TSK-00180,AST-TRA-0259,SEC-RKMP-BPL,OHEInspectionDefect,4,2026-11-08,0,OPEN,KM-RKMP-BPL
DEF-TSK-00181,AST-ENG-0053,SEC-RKMP-BPL,BallastCleaningDefect,3,2026-11-22,0,OPEN,KM-RKMP-BPL
DEF-TSK-00182,AST-S_A-0103,SEC-RKMP-BPL,TurnoutAdjustmentDefect,4,2026-11-08,0,OPEN,KM-RKMP-BPL
DEF-TSK-00183,AST-TRA-0360,SEC-RKMP-BPL,InsulatorReplacementDefect,3,2026-11-20,0,OPEN,KM-RKMP-BPL
DEF-TSK-00184,AST-ENG-0291,SEC-RKMP-BPL,BallastCleaningDefect,3,2026-10-09,0,OPEN,KM-RKMP-BPL
DEF-TSK-00185,AST-S_A-0099,SEC-RKMP-BPL,TurnoutAdjustmentDefect,5,2026-10-06,2,OPEN,KM-RKMP-BPL
DEF-TSK-00186,AST-TRA-0082,SEC-RKMP-BPL,OHEInspectionDefect,4,2026-11-02,0,OPEN,KM-RKMP-BPL
DEF-TSK-00187,AST-ENG-0050,SEC-RKMP-BPL,TrackTampingDefect,3,2026-11-09,0,OPEN,KM-RKMP-BPL
