asset_id,asset_type,department,section_id,location,criticality,condition_score,traffic_load,age_years,installation_date,last_maintenance_date
AST-TRA-0015,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-0.2,4,83.9,39.18,20,2006-03-01,2025-10-06
AST-ENG-0016,TrackSegment,ENGINEERING,SEC-RKMP-BPL,KM-0.2,2,73.4,32.29,7,2019-03-02,2025-12-09
AST-S_A-0017,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-0.2,3,68.8,33.63,22,2004-03-01,2025-09-16
AST-TRA-0018,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-0.2,4,73.7,43.68,25,2001-03-01,2025-10-28
AST-ENG-0019,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-0.2,5,71.4,28.45,11,2015-03-02,2026-01-28
AST-S_A-0020,SignalPost,S_AND_T,SEC-RKMP-BPL,KM-0.2,4,82.9,31.23,23,2003-03-02,2025-11-24
AST-TRA-0021,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-0.3,4,84.7,35.62,4,2022-03-01,2026-01-06
AST-ENG-0022,TrackSegment,ENGINEERING,SEC-RKMP-BPL,KM-0.3,4,61.1,29.75,9,2017-03-01,2026-01-26
AST-S_A-0023,PointMachine,S_AND_T,SEC-RKMP-BPL,KM-0.3,5,68.9,33.32,25,2001-03-01,2025-10-11
AST-TRA-0024,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-0.3,5,85.4,36.99,19,2007-03-02,2026-01-01
AST-ENG-0025,TrackSegment,ENGINEERING,SEC-RKMP-BPL,KM-0.3,5,86.4,32.05,3,2023-03-02,2025-10-18
AST-S_A-0026,PointMachine,S_AND_T,SEC-RKMP-BPL,KM-0.3,4,72.1,45.13,1,2025-03-01,2025-10-12
AST-TRA-0027,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-0.3,4,78.2,39.68,18,2008-03-01,2026-01-30
AST-ENG-0028,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-0.3,2,79.8,28.83,5,2021-03-01,2025-11-25
AST-S_A-0029,SignalPost,S_AND_T,SEC-RKMP-BPL,KM-0.4,2,92.6,39.75,9,2017-03-01,2025-10-07
AST-TRA-0030,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-0.4,5,74.1,34.94,16,2010-03-01,2025-11-09
AST-ENG-0031,TrackSegment,ENGINEERING,SEC-RKMP-BPL,KM-0.4,5,67.8,43.65,1,2025-03-01,2026-02-04
AST-S_A-0032,SignalPost,S_AND_T,SEC-RKMP-BPL,KM-0.4,4,99.5,46.76,5,2021-03-01,2025-11-12
AST-TRA-0033,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-0.4,3,69.9,38.41,12,2014-03-01,2025-09-27
AST-ENG-0034,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-0.4,2,88.7,45.92,14,2012-03-01,2026-01-22
AST-S_A-0035,PointMachine,S_AND_T,SEC-RKMP-BPL,KM-0.4,2,73.1,33.62,14,2012-03-01,2026-01-05
AST-TRA-0036,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-0.4,4,79.3,30.15,16,2010-03-01,2025-09-16
AST-ENG-0037,SleeperBay,ENGINEERING,SEC-RKMP-BPL,KM-0.5,2,70.7,35.42,6,2020-03-01,2025-12-25
AST-S_A-0038,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-0.5,5,69.0,47.06,16,2010-03-01,2025-12-28
AST-TRA-0039,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-0.5,3,71.5,31.29,13,2013-03-01,2025-11-19
AST-ENG-0040,TrackSegment,ENGINEERING,SEC-RKMP-BPL,KM-0.5,4,65.2,45.83,3,2023-03-02,2025-10-14
AST-S_A-0041,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-0.5,5,80.9,34.32,23,2003-03-02,2026-02-11
AST-TRA-0042,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-0.5,4,89.1,29.89,19,2007-03-02,2025-10-14
AST-ENG-0043,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-0.5,5,64.3,30.46,7,2019-03-02,2026-02-03
AST-S_A-0044,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-0.5,3,74.2,39.99,18,2008-03-01,2025-09-23
AST-TRA-0045,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-0.6,3,84.4,47.44,5,2021-03-01,2025-11-24
AST-ENG-0046,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-0.6,2,81.4,32.59,7,2019-03-02,2026-01-24
AST-S_A-0047,SignalPost,S_AND_T,SEC-RKMP-BPL,KM-0.6,2,77.5,41.89,17,2009-03-01,2025-10-11
AST-TRA-0048,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-0.6,3,74.7,42.31,3,2023-03-02,2025-10-16
AST-ENG-0049,SleeperBay,ENGINEERING,SEC-RKMP-BPL,KM-0.6,2,82.9,35.95,4,2022-03-01,2025-09-07
AST-S_A-0050,PointMachine,S_AND_T,SEC-RKMP-BPL,KM-0.6,4,83.4,47.11,14,2012-03-01,2025-12-29
AST-TRA-0051,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-0.6,2,80.4,40.68,24,2002-03-01,2025-09-29
AST-ENG-0052,TrackSegment,ENGINEERING,SEC-RKMP-BPL,KM-0.6,2,80.3,47.32,5,2021-03-01,2025-11-08
AST-S_A-0053,SignalPost,S_AND_T,SEC-RKMP-BPL,KM-0.7,5,63.4,43.7,24,2002-03-01,2025-09-28
AST-TRA-0054,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-0.7,2,70.7,43.94,12,2014-03-01,2026-01-07
AST-ENG-0055,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-0.7,4,72.7,35.48,14,2012-03-01,2025-09-15
AST-S_A-0056,PointMachine,S_AND_T,SEC-RKMP-BPL,KM-0.7,4,60.4,37.08,14,2012-03-01,2026-01-05
AST-TRA-0057,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-0.7,4,96.4,30.11,6,2020-03-01,2025-09-22
AST-ENG-0058,TrackSegment,ENGINEERING,SEC-RKMP-BPL,KM-0.7,4,81.4,44.49,8,2018-03-01,2025-12-25
AST-S_A-0059,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-0.7,5,82.3,33.69,4,2022-03-01,2025-11-11
AST-TRA-0060,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-0.7,2,75.6,29.11,5,2021-03-01,2026-01-17
AST-ENG-0061,SleeperBay,ENGINEERING,SEC-RKMP-BPL,KM-0.8,4,88.1,35.87,2,2024-03-01,2025-10-01
AST-S_A-0062,PointMachine,S_AND_T,SEC-RKMP-BPL,KM-0.8,4,78.0,45.02,14,2012-03-01,2026-02-07
AST-TRA-0063,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-0.8,3,98.9,39.42,5,2021-03-01,2025-09-11
AST-ENG-0064,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-0.8,2,66.9,44.67,3,2023-03-02,2026-02-06
AST-S_A-0065,PointMachine,S_AND_T,SEC-RKMP-BPL,KM-0.8,2,87.3,46.05,24,2002-03-01,2026-01-06
AST-TRA-0066,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-0.8,5,80.6,40.85,16,2010-03-01,2025-10-09
AST-ENG-0067,SleeperBay,ENGINEERING,SEC-RKMP-BPL,KM-0.8,4,79.5,45.15,4,2022-03-01,2025-09-30
AST-S_A-0068,PointMachine,S_AND_T,SEC-RKMP-BPL,KM-0.8,3,79.8,33.33,2,2024-03-01,2026-01-22
AST-TRA-0069,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-0.9,4,95.3,35.35,12,2014-03-01,2025-11-23
AST-ENG-0070,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-0.9,3,77.4,41.71,6,2020-03-01,2025-12-28
AST-S_A-0071,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-0.9,5,95.3,34.57,24,2002-03-01,2025-12-01
AST-TRA-0072,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-0.9,5,82.4,44.09,14,2012-03-01,2025-11-19
AST-ENG-0073,SleeperBay,ENGINEERING,SEC-RKMP-BPL,KM-0.9,3,87.9,32.05,16,2010-03-01,2025-11-08
AST-S_A-0074,AxleCounter,S_AND_T,SEC-RKMP-BPL,KM-0.9,5,78.7,40.29,16,2010-03-01,2026-01-30
AST-TRA-0075,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-0.9,2,62.3,30.75,19,2007-03-02,2025-09-09
AST-ENG-0076,SleeperBay,ENGINEERING,SEC-RKMP-BPL,KM-0.9,5,93.1,43.65,25,2001-03-01,2025-10-06
AST-S_A-0077,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-1.0,3,65.8,29.9,24,2002-03-01,2025-11-21
AST-TRA-0078,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-1.0,3,89.6,39.45,12,2014-03-01,2025-11-30
AST-ENG-0079,SleeperBay,ENGINEERING,SEC-RKMP-BPL,KM-1.0,5,82.1,37.84,14,2012-03-01,2026-01-07
AST-S_A-0080,AxleCounter,S_AND_T,SEC-RKMP-BPL,KM-1.0,5,83.9,30.34,19,2007-03-02,2026-01-31
AST-TRA-0081,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-1.0,4,72.3,41.42,17,2009-03-01,2025-10-17
AST-ENG-0082,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-1.0,5,80.3,33.41,20,2006-03-01,2025-12-16
AST-S_A-0083,AxleCounter,S_AND_T,SEC-RKMP-BPL,KM-1.0,3,81.8,46.72,8,2018-03-01,2025-11-15
AST-TRA-0084,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-1.0,3,92.8,39.06,24,2002-03-01,2025-09-13
AST-ENG-0085,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-1.1,4,78.1,47.73,20,2006-03-01,2026-02-14
AST-S_A-0086,AxleCounter,S_AND_T,SEC-RKMP-BPL,KM-1.1,5,83.5,45.01,22,2004-03-01,2025-11-01
AST-TRA-0087,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-1.1,4,73.4,28.25,4,2022-03-01,2026-01-30
AST-ENG-0088,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-1.1,5,65.5,37.17,8,2018-03-01,2025-12-04
AST-S_A-0089,SignalPost,S_AND_T,SEC-RKMP-BPL,KM-1.1,5,80.8,30.21,8,2018-03-01,2025-12-12
AST-TRA-0090,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-1.1,5,73.3,44.74,2,2024-03-01,2026-01-28
AST-ENG-0091,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-1.1,4,79.4,29.81,25,2001-03-01,2025-10-25
AST-S_A-0092,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-1.1,2,71.0,30.86,22,2004-03-01,2025-10-09
AST-TRA-0093,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-1.2,5,83.2,28.72,5,2021-03-01,2026-02-14
AST-ENG-0094,TrackSegment,ENGINEERING,SEC-RKMP-BPL,KM-1.2,2,58.1,44.03,25,2001-03-01,2026-01-06
AST-S_A-0095,PointMachine,S_AND_T,SEC-RKMP-BPL,KM-1.2,2,85.5,46.56,22,2004-03-01,2026-01-26
AST-TRA-0096,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-1.2,4,91.3,28.8,12,2014-03-01,2026-01-12
AST-ENG-0097,TrackSegment,ENGINEERING,SEC-RKMP-BPL,KM-1.2,4,91.5,40.6,4,2022-03-01,2026-01-31
AST-S_A-0098,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-1.2,3,63.2,31.86,1,2025-03-01,2026-01-01
AST-TRA-0099,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-1.2,5,64.2,29.09,18,2008-03-01,2026-02-03
AST-ENG-0100,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-1.2,2,76.7,42.19,11,2015-03-02,2026-01-17
AST-S_A-0101,PointMachine,S_AND_T,SEC-RKMP-BPL,KM-1.3,3,67.3,37.17,3,2023-03-02,2025-11-17
AST-TRA-0102,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-1.3,4,81.3,30.9,7,2019-03-02,2025-09-11
AST-ENG-0103,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-1.3,4,88.7,40.98,8,2018-03-01,2025-12-03
AST-S_A-0104,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-1.3,2,76.7,36.08,23,2003-03-02,2025-11-28
AST-TRA-0105,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-1.3,2,79.6,34.09,3,2023-03-02,2025-11-05
AST-ENG-0106,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-1.3,4,77.7,36.24,4,2022-03-01,2025-12-09
AST-S_A-0107,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-1.3,4,66.8,28.72,6,2020-03-01,2025-12-27
AST-TRA-0108,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-1.3,4,89.1,39.45,9,2017-03-01,2025-11-13
AST-ENG-0109,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-1.4,4,79.9,34.32,18,2008-03-01,2026-01-05
AST-S_A-0110,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-1.4,4,66.6,40.52,14,2012-03-01,2025-12-17
AST-TRA-0111,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-1.4,4,78.9,46.42,13,2013-03-01,2025-09-27
AST-ENG-0112,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-1.4,4,70.2,34.29,13,2013-03-01,2025-09-29
AST-S_A-0113,PointMachine,S_AND_T,SEC-RKMP-BPL,KM-1.4,2,84.7,44.84,13,2013-03-01,2025-10-02
AST-TRA-0114,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-1.4,3,82.5,31.46,19,2007-03-02,2025-12-25
AST-ENG-0115,TrackSegment,ENGINEERING,SEC-RKMP-BPL,KM-1.4,2,58.1,45.13,19,2007-03-02,2025-12-08
AST-S_A-0116,PointMachine,S_AND_T,SEC-RKMP-BPL,KM-1.4,3,70.8,30.39,13,2013-03-01,2025-12-16
AST-TRA-0117,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-1.5,5,82.3,34.22,24,2002-03-01,2025-10-10
AST-ENG-0118,SleeperBay,ENGINEERING,SEC-RKMP-BPL,KM-1.5,4,75.0,40.82,9,2017-03-01,2026-02-13
AST-S_A-0119,AxleCounter,S_AND_T,SEC-RKMP-BPL,KM-1.5,4,84.7,31.32,6,2020-03-01,2025-12-08
AST-TRA-0120,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-1.5,5,68.3,44.78,21,2005-03-01,2025-09-04
AST-ENG-0121,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-1.5,4,73.6,29.6,4,2022-03-01,2025-09-30
AST-S_A-0122,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-1.5,4,93.6,31.01,8,2018-03-01,2026-01-16
AST-TRA-0123,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-1.5,2,62.3,33.84,23,2003-03-02,2026-01-13
AST-ENG-0124,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-1.5,4,54.1,29.68,7,2019-03-02,2026-01-05
AST-S_A-0125,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-1.6,4,76.2,41.4,22,2004-03-01,2025-10-06
AST-TRA-0126,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-1.6,2,67.9,38.79,23,2003-03-02,2025-12-21
AST-ENG-0127,SleeperBay,ENGINEERING,SEC-RKMP-BPL,KM-1.6,4,81.0,45.04,22,2004-03-01,2025-12-15
AST-S_A-0128,AxleCounter,S_AND_T,SEC-RKMP-BPL,KM-1.6,5,70.5,45.01,10,2016-03-01,2025-12-20
AST-TRA-0129,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-1.6,4,69.1,35.97,13,2013-03-01,2025-09-03
AST-ENG-0130,SleeperBay,ENGINEERING,SEC-RKMP-BPL,KM-1.6,4,70.3,34.78,8,2018-03-01,2026-01-14
AST-S_A-0131,PointMachine,S_AND_T,SEC-RKMP-BPL,KM-1.6,5,83.5,34.15,1,2025-03-01,2026-01-22
AST-TRA-0132,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-1.6,2,80.6,42.06,14,2012-03-01,2025-11-02
AST-ENG-0133,SleeperBay,ENGINEERING,SEC-RKMP-BPL,KM-1.6,4,90.5,43.23,25,2001-03-01,2025-10-30
AST-S_A-0134,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-1.7,4,66.4,43.64,12,2014-03-01,2025-09-24
AST-TRA-0135,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-1.7,4,66.2,39.06,3,2023-03-02,2025-09-09
AST-ENG-0136,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-1.7,5,65.8,33.76,21,2005-03-01,2025-10-16
AST-S_A-0137,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-1.7,3,61.5,28.82,19,2007-03-02,2025-11-23
AST-TRA-0138,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-1.7,4,86.1,37.3,9,2017-03-01,2025-09-06
AST-ENG-0139,TrackSegment,ENGINEERING,SEC-RKMP-BPL,KM-1.7,5,90.7,39.11,11,2015-03-02,2025-11-17
AST-S_A-0140,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-1.7,5,85.6,28.74,2,2024-03-01,2025-12-15
AST-TRA-0141,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-1.7,2,80.4,42.27,2,2024-03-01,2025-10-29
AST-ENG-0142,SleeperBay,ENGINEERING,SEC-RKMP-BPL,KM-1.8,5,65.2,44.02,10,2016-03-01,2026-02-06
AST-S_A-0143,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-1.8,4,73.6,28.09,6,2020-03-01,2025-09-10
AST-TRA-0144,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-1.8,4,82.7,36.03,18,2008-03-01,2025-09-20
AST-ENG-0145,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-1.8,3,53.9,34.96,17,2009-03-01,2025-10-09
AST-S_A-0146,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-1.8,3,58.6,35.94,3,2023-03-02,2025-12-31
AST-TRA-0147,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-1.8,3,83.8,34.84,23,2003-03-02,2025-12-02
AST-ENG-0148,SleeperBay,ENGINEERING,SEC-RKMP-BPL,KM-1.8,5,98.5,33.93,20,2006-03-01,2025-12-09
AST-S_A-0149,AxleCounter,S_AND_T,SEC-RKMP-BPL,KM-1.8,4,60.7,35.85,4,2022-03-01,2025-11-25
AST-TRA-0150,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-1.9,4,76.3,35.31,3,2023-03-02,2026-02-03
AST-ENG-0151,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-1.9,2,69.3,40.69,6,2020-03-01,2025-09-22
AST-S_A-0152,PointMachine,S_AND_T,SEC-RKMP-BPL,KM-1.9,4,61.1,43.04,13,2013-03-01,2025-11-17
AST-TRA-0153,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-1.9,5,60.9,34.51,8,2018-03-01,2025-09-21
AST-ENG-0154,SleeperBay,ENGINEERING,SEC-RKMP-BPL,KM-1.9,4,52.4,39.81,16,2010-03-01,2025-10-30
AST-S_A-0155,SignalPost,S_AND_T,SEC-RKMP-BPL,KM-1.9,3,86.4,31.11,8,2018-03-01,2025-12-19
AST-TRA-0156,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-1.9,3,82.2,43.84,15,2011-03-02,2025-10-08
AST-ENG-0157,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-1.9,4,90.5,41.49,11,2015-03-02,2026-01-03
AST-S_A-0158,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-2.0,5,73.6,31.7,5,2021-03-01,2025-11-14
AST-TRA-0159,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-2.0,4,73.8,38.25,3,2023-03-02,2025-09-13
AST-ENG-0160,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-2.0,2,55.5,30.06,8,2018-03-01,2026-02-08
AST-S_A-0161,SignalPost,S_AND_T,SEC-RKMP-BPL,KM-2.0,2,68.8,38.32,7,2019-03-02,2025-10-07
AST-TRA-0162,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-2.0,2,67.7,35.69,20,2006-03-01,2026-02-05
AST-ENG-0163,SleeperBay,ENGINEERING,SEC-RKMP-BPL,KM-2.0,3,83.6,35.88,18,2008-03-01,2026-01-07
AST-S_A-0164,PointMachine,S_AND_T,SEC-RKMP-BPL,KM-2.0,2,85.0,45.26,5,2021-03-01,2026-02-14
AST-TRA-0165,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-2.0,4,62.4,36.63,13,2013-03-01,2025-11-16
AST-ENG-0166,SleeperBay,ENGINEERING,SEC-RKMP-BPL,KM-2.1,5,77.0,34.45,15,2011-03-02,2026-01-05
AST-S_A-0167,InsulatedJoint,S_AND_T,SEC-RKMP-BPL,KM-2.1,4,92.6,34.61,12,2014-03-01,2026-01-05
AST-TRA-0168,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-2.1,2,66.8,42.23,5,2021-03-01,2026-01-21
AST-ENG-0169,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-2.1,2,80.8,28.19,2,2024-03-01,2025-09-14
AST-S_A-0170,SignalPost,S_AND_T,SEC-RKMP-BPL,KM-2.1,2,61.8,40.4,12,2014-03-01,2026-01-06
AST-TRA-0171,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-2.1,4,59.4,28.09,15,2011-03-02,2025-12-30
AST-ENG-0172,SleeperBay,ENGINEERING,SEC-RKMP-BPL,KM-2.1,4,83.2,43.46,25,2001-03-01,2025-09-26
AST-S_A-0173,PointMachine,S_AND_T,SEC-RKMP-BPL,KM-2.1,5,67.8,40.07,7,2019-03-02,2025-09-17
AST-TRA-0174,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-2.2,3,68.8,34.37,14,2012-03-01,2025-10-06
AST-ENG-0175,TrackSegment,ENGINEERING,SEC-RKMP-BPL,KM-2.2,3,84.4,34.35,16,2010-03-01,2025-10-02
AST-S_A-0176,SignalPost,S_AND_T,SEC-RKMP-BPL,KM-2.2,2,60.2,28.38,18,2008-03-01,2026-01-18
AST-TRA-0177,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-2.2,4,95.3,34.34,19,2007-03-02,2026-01-25
AST-ENG-0178,SleeperBay,ENGINEERING,SEC-RKMP-BPL,KM-2.2,4,78.1,30.87,17,2009-03-01,2025-10-23
AST-S_A-0179,SignalPost,S_AND_T,SEC-RKMP-BPL,KM-2.2,4,65.0,28.08,5,2021-03-01,2025-09-15
AST-TRA-0180,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-2.2,5,86.9,30.54,15,2011-03-02,2025-09-19
AST-ENG-0181,TrackSegment,ENGINEERING,SEC-RKMP-BPL,KM-2.2,4,67.2,33.46,23,2003-03-02,2025-10-18
AST-S_A-0182,SignalPost,S_AND_T,SEC-RKMP-BPL,KM-2.3,4,83.1,41.27,25,2001-03-01,2025-09-30
AST-TRA-0183,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-2.3,4,88.6,45.48,1,2025-03-01,2025-09-29
AST-ENG-0184,TrackSegment,ENGINEERING,SEC-RKMP-BPL,KM-2.3,4,67.2,35.92,19,2007-03-02,2025-10-26
AST-S_A-0185,AxleCounter,S_AND_T,SEC-RKMP-BPL,KM-2.3,4,76.7,47.67,19,2007-03-02,2026-01-21
AST-TRA-0186,OHE_Mast,TRACTION,SEC-RKMP-BPL,KM-2.3,4,76.0,43.92,9,2017-03-01,2025-11-21
AST-ENG-0187,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-2.3,2,81.1,35.9,11,2015-03-02,2026-01-19
AST-S_A-0188,AxleCounter,S_AND_T,SEC-RKMP-BPL,KM-2.3,2,66.6,31.57,18,2008-03-01,2026-01-13
AST-TRA-0189,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-2.3,5,66.4,37.4,22,2004-03-01,2025-09-22
AST-ENG-0190,SleeperBay,ENGINEERING,SEC-RKMP-BPL,KM-2.4,5,78.3,38.34,3,2023-03-02,2025-10-15
AST-S_A-0191,AxleCounter,S_AND_T,SEC-RKMP-BPL,KM-2.4,5,93.6,30.09,19,2007-03-02,2025-10-09
AST-TRA-0192,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-2.4,5,69.1,30.0,1,2025-03-01,2026-01-12
AST-ENG-0193,TurnoutSwitch,ENGINEERING,SEC-RKMP-BPL,KM-2.4,2,97.1,35.54,19,2007-03-02,2025-10-05
AST-S_A-0194,AxleCounter,S_AND_T,SEC-RKMP-BPL,KM-2.4,5,79.3,34.38,9,2017-03-01,2025-11-06
AST-TRA-0195,ContactWireSegment,TRACTION,SEC-RKMP-BPL,KM-2.4,4,87.7,46.71,15,2011-03-02,2025-11-23
