record_id,section_id,date,temperature_c,rainfall_mm,humidity_pct,weather_condition
WTH-000068,SEC-BRC-ADI,2026-03-07,28.2,1.8,43.7,NORMAL
WTH-000069,SEC-MAS-RU,2026-03-07,27.8,4.4,23.5,NORMAL
WTH-000070,SEC-HWH-KGP,2026-03-07,31.0,0.4,69.8,NORMAL
WTH-000071,SEC-NDLS-GZB,2026-03-08,35.6,0.0,49.4,NORMAL
WTH-000072,SEC-GZB-CNB,2026-03-08,29.9,0.0,82.3,NORMAL
WTH-000073,SEC-CNB-PRYJ,2026-03-08,28.3,0.0,43.1,NORMAL
WTH-000074,SEC-PRYJ-DDU,2026-03-08,25.3,0.0,63.0,NORMAL
WTH-000075,SEC-DDU-PNBE,2026-03-08,37.8,0.0,95.0,NORMAL
WTH-000076,SEC-BCT-ST,2026-03-08,31.7,0.0,40.5,NORMAL
WTH-000077,SEC-ST-BRC,2026-03-08,35.1,1.3,69.8,NORMAL
WTH-000078,SEC-BRC-ADI,2026-03-08,26.9,0.0,63.1,NORMAL
WTH-000079,SEC-MAS-RU,2026-03-08,32.6,5.7,77.8,NORMAL
WTH-000080,SEC-HWH-KGP,2026-03-08,41.2,5.0,70.8,NORMAL
WTH-000081,SEC-NDLS-GZB,2026-03-09,19.0,0.0,31.9,NORMAL
WTH-000082,SEC-GZB-CNB,2026-03-09,29.6,1.1,56.8,NORMAL
WTH-000083,SEC-CNB-PRYJ,2026-03-09,35.8,2.7,54.6,NORMAL
WTH-000084,SEC-PRYJ-DDU,2026-03-09,29.7,6.3,66.5,NORMAL
WTH-000085,SEC-DDU-PNBE,2026-03-09,26.7,0.0,83.3,NORMAL
WTH-000086,SEC-BCT-ST,2026-03-09,35.2,0.0,56.0,NORMAL
WTH-000087,SEC-ST-BRC,2026-03-09,30.9,0.0,34.3,NORMAL
WTH-000088,SEC-BRC-ADI,2026-03-09,29.0,0.0,54.3,NORMAL
WTH-000089,SEC-MAS-RU,2026-03-09,31.5,0.0,93.3,NORMAL
WTH-000090,SEC-HWH-KGP,2026-03-09,32.0,0.0,51.0,NORMAL
WTH-000091,SEC-NDLS-GZB,2026-03-10,30.8,5.6,48.4,NORMAL
WTH-000092,SEC-GZB-CNB,2026-03-10,31.1,0.0,48.0,NORMAL
WTH-000093,SEC-CNB-PRYJ,2026-03-10,32.0,3.3,47.6,NORMAL
WTH-000094,SEC-PRYJ-DDU,2026-03-10,36.9,0.0,57.5,NORMAL
WTH-000095,SEC-DDU-PNBE,2026-03-10,23.0,3.4,65.6,NORMAL
WTH-000096,SEC-BCT-ST,2026-03-10,39.9,5.1,76.9,NORMAL
WTH-000097,SEC-ST-BRC,2026-03-10,26.6,1.8,78.3,NORMAL
WTH-000098,SEC-BRC-ADI,2026-03-10,28.0,7.6,71.0,NORMAL
WTH-000099,SEC-MAS-RU,2026-03-10,33.2,0.0,45.2,NORMAL
WTH-000100,SEC-HWH-KGP,2026-03-10,40.0,0.0,65.1,NORMAL
WTH-000101,SEC-NDLS-GZB,2026-03-11,30.1,0.0,62.5,NORMAL
WTH-000102,SEC-GZB-CNB,2026-03-11,33.8,0.0,48.3,NORMAL
WTH-000103,SEC-CNB-PRYJ,2026-03-11,25.4,1.2,33.8,NORMAL
WTH-000104,SEC-PRYJ-DDU,2026-03-11,30.5,0.0,67.4,NORMAL
WTH-000105,SEC-DDU-PNBE,2026-03-11,40.9,3.7,94.1,NORMAL
WTH-000106,SEC-BCT-ST,2026-03-11,31.0,0.0,38.8,NORMAL
WTH-000107,SEC-ST-BRC,2026-03-11,36.5,0.6,59.1,NORMAL
WTH-000108,SEC-BRC-ADI,2026-03-11,23.3,0.0,72.7,NORMAL
WTH-000109,SEC-MAS-RU,2026-03-11,30.9,0.0,77.0,NORMAL
WTH-000110,SEC-HWH-KGP,2026-03-11,29.1,0.0,60.7,NORMAL
WTH-000111,SEC-NDLS-GZB,2026-03-12,32.2,2.3,61.0,NORMAL
WTH-000112,SEC-GZB-CNB,2026-03-12,20.2,0.0,39.5,NORMAL
WTH-000113,SEC-CNB-PRYJ,2026-03-12,39.3,0.0,72.8,NORMAL
WTH-000114,SEC-PRYJ-DDU,2026-03-12,30.9,0.0,50.1,NORMAL
WTH-000115,SEC-DDU-PNBE,2026-03-12,40.7,0.0,24.7,NORMAL
WTH-000116,SEC-BCT-ST,2026-03-12,36.6,3.1,84.9,NORMAL
WTH-000117,SEC-ST-BRC,2026-03-12,36.7,0.0,60.8,NORMAL
WTH-000118,SEC-BRC-ADI,2026-03-12,22.7,1.6,69.3,NORMAL
WTH-000119,SEC-MAS-RU,2026-03-12,31.4,0.0,45.5,NORMAL
WTH-000120,SEC-HWH-KGP,2026-03-12,27.5,0.0,88.1,NORMAL
WTH-000121,SEC-NDLS-GZB,2026-03-13,32.0,0.0,45.3,NORMAL
WTH-000122,SEC-GZB-CNB,2026-03-13,34.9,0.0,37.1,NORMAL
WTH-000123,SEC-CNB-PRYJ,2026-03-13,34.1,0.0,67.9,NORMAL
WTH-000124,SEC-PRYJ-DDU,2026-03-13,39.4,3.0,56.5,NORMAL
WTH-000125,SEC-DDU-PNBE,2026-03-13,35.0,3.5,50.5,NORMAL
WTH-000126,SEC-BCT-ST,2026-03-13,33.2,0.0,63.3,NORMAL
WTH-000127,SEC-ST-BRC,2026-03-13,28.0,0.8,53.2,NORMAL
WTH-000128,SEC-BRC-ADI,2026-03-13,28.2,0.0,66.3,NORMAL
WTH-000129,SEC-MAS-RU,2026-03-13,36.4,0.0,51.3,NORMAL
WTH-000130,SEC-HWH-KGP,2026-03-13,39.0,0.0,60.5,NORMAL
WTH-000131,SEC-NDLS-GZB,2026-03-14,31.2,0.0,77.6,NORMAL
WTH-000132,SEC-GZB-CNB,2026-03-14,37.0,0.0,46.9,NORMAL
WTH-000133,SEC-CNB-PRYJ,2026-03-14,40.7,0.0,53.2,NORMAL
WTH-000134,SEC-PRYJ-DDU,2026-03-14,38.4,0.9,81.2,NORMAL
WTH-000135,SEC-DDU-PNBE,2026-03-14,38.7,2.3,68.7,NORMAL
WTH-000136,SEC-BCT-ST,2026-03-14,35.5,1.1,48.9,NORMAL
WTH-000137,SEC-ST-BRC,2026-03-14,38.4,3.2,41.4,NORMAL
WTH-000138,SEC-BRC-ADI,2026-03-14,31.5,2.7,44.1,NORMAL
WTH-000139,SEC-MAS-RU,2026-03-14,33.4,0.7,63.6,NORMAL
WTH-000140,SEC-HWH-KGP,2026-03-14,29.6,0.0,59.9,NORMAL
