movement_id,train_id,section_id,arrival_time,departure_time,direction
MOV-000022,TRN-12001,SEC-PRYJ-DDU,2026-03-12T10:00:00,2026-03-12T10:53:00,DOWN
MOV-000023,TRN-12001,SEC-HWH-KGP,2026-03-12T11:18:00,2026-03-12T12:04:00,DOWN
MOV-000024,TRN-12001,SEC-HWH-KGP,2026-03-13T06:00:00,2026-03-13T06:53:00,DOWN
MOV-000025,TRN-12001,SEC-GZB-CNB,2026-03-13T07:16:00,2026-03-13T07:44:00,DOWN
MOV-000026,TRN-12001,SEC-BCT-ST,2026-03-14T11:15:00,2026-03-14T11:43:00,DOWN
MOV-000027,TRN-12002,SEC-NDLS-GZB,2026-03-01T16:45:00,2026-03-01T17:24:00,UP
MOV-000028,TRN-12002,SEC-PRYJ-DDU,2026-03-01T17:47:00,2026-03-01T18:16:00,UP
MOV-000029,TRN-12002,SEC-ST-BRC,2026-03-02T12:00:00,2026-03-02T12:53:00,UP
MOV-000030,TRN-12002,SEC-ST-BRC,2026-03-03T07:45:00,2026-03-03T08:12:00,UP
MOV-000031,TRN-12002,SEC-GZB-CNB,2026-03-03T08:34:00,2026-03-03T09:05:00,UP
MOV-000032,TRN-12002,SEC-ST-BRC,2026-03-04T05:30:00,2026-03-04T06:09:00,UP
MOV-000033,TRN-12002,SEC-BCT-ST,2026-03-05T16:15:00,2026-03-05T16:53:00,UP
MOV-000034,TRN-12002,SEC-NDLS-GZB,2026-03-06T14:00:00,2026-03-06T14:36:00,UP
MOV-000035,TRN-12002,SEC-GZB-CNB,2026-03-07T06:15:00,2026-03-07T06:54:00,UP
MOV-000036,TRN-12002,SEC-BRC-ADI,2026-03-08T21:15:00,2026-03-08T21:42:00,UP
MOV-000037,TRN-12002,SEC-BCT-ST,2026-03-08T22:08:00,2026-03-08T22:42:00,UP
MOV-000038,TRN-12002,SEC-MAS-RU,2026-03-08T22:52:00,2026-03-08T23:24:00,UP
MOV-000039,TRN-12002,SEC-MAS-RU,2026-03-09T05:30:00,2026-03-09T06:08:00,UP
MOV-000040,TRN-12002,SEC-ST-BRC,2026-03-10T10:00:00,2026-03-10T10:46:00,UP
MOV-000041,TRN-12002,SEC-PRYJ-DDU,2026-03-11T11:45:00,2026-03-11T12:15:00,UP
MOV-000042,TRN-12002,SEC-HWH-KGP,2026-03-11T12:26:00,2026-03-11T13:05:00,UP
MOV-000043,TRN-12002,SEC-CNB-PRYJ,2026-03-11T13:30:00,2026-03-11T13:59:00,UP
MOV-000044,TRN-12002,SEC-CNB-PRYJ,2026-03-12T07:00:00,2026-03-12T07:30:00,UP
MOV-000045,TRN-12002,SEC-HWH-KGP,2026-03-12T07:43:00,2026-03-12T08:35:00,UP
MOV-000046,TRN-12002,SEC-CNB-PRYJ,2026-03-13T05:15:00,2026-03-13T05:47:00,UP
MOV-000047,TRN-12002,SEC-BCT-ST,2026-03-13T06:13:00,2026-03-13T06:51:00,UP
MOV-000048,TRN-12002,SEC-GZB-CNB,2026-03-14T06:15:00,2026-03-14T06:49:00,UP
MOV-000049,TRN-12002,SEC-HWH-KGP,2026-03-14T07:07:00,2026-03-14T07:59:00,UP
MOV-000050,TRN-12002,SEC-BRC-ADI,2026-03-14T08:23:00,2026-03-14T09:11:00,UP
MOV-000051,TRN-12003,SEC-BCT-ST,2026-03-01T21:30:00,2026-03-01T22:22:00,DOWN
MOV-000052,TRN-12003,SEC-DDU-PNBE,2026-03-01T22:39:00,2026-03-01T23:19:00,DOWN
MOV-000053,TRN-12003,SEC-GZB-CNB,2026-03-02T11:45:00,2026-03-02T12:13:00,DOWN
MOV-000054,TRN-12003,SEC-BCT-ST,2026-03-02T12:24:00,2026-03-02T13:00:00,DOWN
MOV-000055,TRN-12003,SEC-DDU-PNBE,2026-03-03T10:45:00,2026-03-03T11:23:00,DOWN
MOV-000056,TRN-12003,SEC-PRYJ-DDU,2026-03-03T11:43:00,2026-03-03T12:30:00,DOWN
MOV-000057,TRN-12003,SEC-NDLS-GZB,2026-03-03T12:53:00,2026-03-03T13:22:00,DOWN
MOV-000058,TRN-12003,SEC-DDU-PNBE,2026-03-04T20:45:00,2026-03-04T21:17:00,DOWN
MOV-000059,TRN-12003,SEC-CNB-PRYJ,2026-03-04T21:33:00,2026-03-04T22:05:00,DOWN
MOV-000060,TRN-12003,SEC-MAS-RU,2026-03-05T11:00:00,2026-03-05T11:41:00,DOWN
MOV-000061,TRN-12003,SEC-PRYJ-DDU,2026-03-05T12:00:00,2026-03-05T12:38:00,DOWN
MOV-000062,TRN-12003,SEC-GZB-CNB,2026-03-05T13:01:00,2026-03-05T13:50:00,DOWN
MOV-000063,TRN-12003,SEC-PRYJ-DDU,2026-03-06T19:00:00,2026-03-06T19:53:00,DOWN
MOV-000064,TRN-12003,SEC-PRYJ-DDU,2026-03-07T11:15:00,2026-03-07T11:44:00,DOWN
MOV-000065,TRN-12003,SEC-MAS-RU,2026-03-07T12:02:00,2026-03-07T12:44:00,DOWN
MOV-000066,TRN-12003,SEC-BRC-ADI,2026-03-07T12:58:00,2026-03-07T13:26:00,DOWN
MOV-000067,TRN-12003,SEC-BRC-ADI,2026-03-08T18:30:00,2026-03-08T19:15:00,DOWN
MOV-000068,TRN-12003,SEC-BRC-ADI,2026-03-09T20:45:00,2026-03-09T21:21:00,DOWN
MOV-000069,TRN-12003,SEC-GZB-CNB,2026-03-10T16:30:00,2026-03-10T16:55:00,DOWN
MOV-000070,TRN-12003,SEC-MAS-RU,2026-03-10T17:21:00,2026-03-10T17:58:00,DOWN
MOV-000071,TRN-12003,SEC-NDLS-GZB,2026-03-11T16:15:00,2026-03-11T16:53:00,DOWN
MOV-000072,TRN-12003,SEC-GZB-CNB,2026-03-11T17:06:00,2026-03-11T17:42:00,DOWN
MOV-000073,TRN-12003,SEC-NDLS-GZB,2026-03-12T09:15:00,2026-03-12T10:07:00,DOWN
MOV-000074,TRN-12003,SEC-DDU-PNBE,2026-03-12T10:22:00,2026-03-12T11:03:00,DOWN
MOV-000075,TRN-12003,SEC-CNB-PRYJ,2026-03-12T11:13:00,2026-03-12T11:56:00,DOWN
MOV-000076,TRN-12003,SEC-DDU-PNBE,2026-03-13T06:30:00,2026-03-13T06:58:00,DOWN
MOV-000077,TRN-12003,SEC-GZB-CNB,2026-03-14T18:30:00,2026-03-14T19:04:00,DOWN
MOV-000078,TRN-12003,SEC-HWH-KGP,2026-03-14T19:18:00,2026-03-14T20:00:00,DOWN
MOV-000079,TRN-12003,SEC-PRYJ-DDU,2026-03-14T20:12:00,2026-03-14T20:55:00,DOWN
MOV-000080,TRN-12004,SEC-BCT-ST,2026-03-01T22:15:00,2026-03-01T22:59:00,UP
MOV-000081,TRN-12004,SEC-PRYJ-DDU,2026-03-02T03:15:00,2026-03-02T04:07:00,UP
MOV-000082,TRN-12004,SEC-ST-BRC,2026-03-03T00:45:00,2026-03-03T01:25:00,UP
MOV-000083,TRN-12004,SEC-NDLS-GZB,2026-03-03T01:41:00,2026-03-03T02:15:00,UP
MOV-000084,TRN-12004,SEC-BCT-ST,2026-03-03T02:37:00,2026-03-03T03:26:00,UP
MOV-000085,TRN-12004,SEC-BRC-ADI,2026-03-04T22:30:00,2026-03-04T23:03:00,UP
MOV-000086,TRN-12004,SEC-PRYJ-DDU,2026-03-04T23:30:00,2026-03-05T00:12:00,UP
MOV-000087,TRN-12004,SEC-BCT-ST,2026-03-05T23:45:00,2026-03-06T00:24:00,UP
MOV-000088,TRN-12004,SEC-HWH-KGP,2026-03-06T23:30:00,2026-03-07T00:24:00,UP
MOV-000089,TRN-12004,SEC-DDU-PNBE,2026-03-07T00:46:00,2026-03-07T01:15:00,UP
MOV-000090,TRN-12004,SEC-BRC-ADI,2026-03-07T01:25:00,2026-03-07T02:05:00,UP
MOV-000091,TRN-12004,SEC-DDU-PNBE,2026-03-07T02:30:00,2026-03-07T03:13:00,UP
MOV-000092,TRN-12004,SEC-MAS-RU,2026-03-07T03:24:00,2026-03-07T04:01:00,UP
MOV-000093,TRN-12004,SEC-ST-BRC,2026-03-07T04:13:00,2026-03-07T04:53:00,UP
MOV-000094,TRN-12004,SEC-GZB-CNB,2026-03-08T03:15:00,2026-03-08T03:55:00,UP
MOV-000095,TRN-12004,SEC-ST-BRC,2026-03-09T23:45:00,2026-03-10T00:25:00,UP
MOV-000096,TRN-12004,SEC-GZB-CNB,2026-03-10T00:50:00,2026-03-10T01:16:00,UP
MOV-000097,TRN-12004,SEC-BRC-ADI,2026-03-10T01:27:00,2026-03-10T02:03:00,UP
MOV-000098,TRN-12004,SEC-NDLS-GZB,2026-03-10T02:15:00,2026-03-10T02:40:00,UP
MOV-000099,TRN-12004,SEC-NDLS-GZB,2026-03-11T22:45:00,2026-03-11T23:17:00,UP
MOV-000100,TRN-12004,SEC-DDU-PNBE,2026-03-11T23:36:00,2026-03-12T00:17:00,UP
MOV-000101,TRN-12004,SEC-BCT-ST,2026-03-12T02:15:00,2026-03-12T02:40:00,UP
MOV-000102,TRN-12004,SEC-ST-BRC,2026-03-12T02:58:00,2026-03-12T03:50:00,UP
MOV-000103,TRN-12004,SEC-CNB-PRYJ,2026-03-13T00:30:00,2026-03-13T01:10:00,UP
MOV-000104,TRN-12004,SEC-HWH-KGP,2026-03-13T01:32:00,2026-03-13T02:05:00,UP
MOV-000105,TRN-12004,SEC-ST-BRC,2026-03-14T23:15:00,2026-03-14T23:47:00,UP
MOV-000106,TRN-12004,SEC-GZB-CNB,2026-03-15T00:11:00,2026-03-15T00:36:00,UP
MOV-000107,TRN-12005,SEC-HWH-KGP,2026-03-01T11:30:00,2026-03-01T12:16:00,DOWN
MOV-000108,TRN-12005,SEC-BRC-ADI,2026-03-01T12:32:00,2026-03-01T13:26:00,DOWN
MOV-000109,TRN-12005,SEC-GZB-CNB,2026-03-02T10:30:00,2026-03-02T11:24:00,DOWN
MOV-000110,TRN-12005,SEC-PRYJ-DDU,2026-03-02T11:52:00,2026-03-02T12:36:00,DOWN
MOV-000111,TRN-12005,SEC-BCT-ST,2026-03-02T12:59:00,2026-03-02T13:50:00,DOWN
MOV-000112,TRN-12005,SEC-MAS-RU,2026-03-03T17:45:00,2026-03-03T18:30:00,DOWN
MOV-000113,TRN-12005,SEC-ST-BRC,2026-03-04T13:15:00,2026-03-04T13:44:00,DOWN
MOV-000114,TRN-12005,SEC-MAS-RU,2026-03-04T13:57:00,2026-03-04T14:24:00,DOWN
MOV-000115,TRN-12005,SEC-BRC-ADI,2026-03-04T14:52:00,2026-03-04T15:31:00,DOWN
MOV-000116,TRN-12005,SEC-BRC-ADI,2026-03-05T06:15:00,2026-03-05T06:48:00,DOWN
MOV-000117,TRN-12005,SEC-DDU-PNBE,2026-03-05T07:17:00,2026-03-05T07:57:00,DOWN
MOV-000118,TRN-12005,SEC-ST-BRC,2026-03-05T08:25:00,2026-03-05T08:53:00,DOWN
MOV-000119,TRN-12005,SEC-MAS-RU,2026-03-06T20:30:00,2026-03-06T20:58:00,DOWN
MOV-000120,TRN-12005,SEC-HWH-KGP,2026-03-07T08:00:00,2026-03-07T08:47:00,DOWN
MOV-000121,TRN-12005,SEC-ST-BRC,2026-03-07T09:15:00,2026-03-07T10:02:00,DOWN
MOV-000122,TRN-12005,SEC-NDLS-GZB,2026-03-07T10:16:00,2026-03-07T10:46:00,DOWN
MOV-000123,TRN-12005,SEC-ST-BRC,2026-03-08T06:30:00,2026-03-08T07:15:00,DOWN
MOV-000124,TRN-12005,SEC-CNB-PRYJ,2026-03-08T07:29:00,2026-03-08T08:04:00,DOWN
MOV-000125,TRN-12005,SEC-BCT-ST,2026-03-09T12:15:00,2026-03-09T12:57:00,DOWN
MOV-000126,TRN-12005,SEC-NDLS-GZB,2026-03-10T08:00:00,2026-03-10T08:45:00,DOWN
MOV-000127,TRN-12005,SEC-CNB-PRYJ,2026-03-10T09:04:00,2026-03-10T09:34:00,DOWN
MOV-000128,TRN-12005,SEC-GZB-CNB,2026-03-10T09:50:00,2026-03-10T10:15:00,DOWN
MOV-000129,TRN-12005,SEC-MAS-RU,2026-03-11T10:15:00,2026-03-11T10:46:00,DOWN
MOV-000130,TRN-12005,SEC-BRC-ADI,2026-03-12T19:30:00,2026-03-12T20:11:00,DOWN
MOV-000131,TRN-12005,SEC-GZB-CNB,2026-03-12T20:29:00,2026-03-12T21:01:00,DOWN
MOV-000132,TRN-12005,SEC-DDU-PNBE,2026-03-13T21:30:00,2026-03-13T22:16:00,DOWN
MOV-000133,TRN-12005,SEC-BCT-ST,2026-03-14T18:30:00,2026-03-14T19:00:00,DOWN
MOV-000134,TRN-12006,SEC-BCT-ST,2026-03-01T02:15:00,2026-03-01T03:03:00,UP
MOV-000135,TRN-12006,SEC-ST-BRC,2026-03-01T03:32:00,2026-03-01T04:21:00,UP
MOV-000136,TRN-12006,SEC-BRC-ADI,2026-03-02T02:15:00,2026-03-02T02:47:00,UP
MOV-000137,TRN-12006,SEC-DDU-PNBE,2026-03-02T03:06:00,2026-03-02T03:56:00,UP
MOV-000138,TRN-12006,SEC-ST-BRC,2026-03-03T00:45:00,2026-03-03T01:34:00,UP
MOV-000139,TRN-12006,SEC-GZB-CNB,2026-03-04T02:15:00,2026-03-04T02:45:00,UP
MOV-000140,TRN-12006,SEC-MAS-RU,2026-03-05T03:00:00,2026-03-05T03:38:00,UP
MOV-000141,TRN-12006,SEC-NDLS-GZB,2026-03-05T03:58:00,2026-03-05T04:51:00,UP
MOV-000142,TRN-12006,SEC-BCT-ST,2026-03-05T05:19:00,2026-03-05T05:52:00,UP
MOV-000143,TRN-12006,SEC-PRYJ-DDU,2026-03-06T23:30:00,2026-03-07T00:15:00,UP
MOV-000144,TRN-12006,SEC-CNB-PRYJ,2026-03-07T00:39:00,2026-03-07T01:19:00,UP
MOV-000145,TRN-12006,SEC-BCT-ST,2026-03-07T01:35:00,2026-03-07T02:12:00,UP
MOV-000146,TRN-12006,SEC-ST-BRC,2026-03-07T22:30:00,2026-03-07T23:09:00,UP
MOV-000147,TRN-12006,SEC-NDLS-GZB,2026-03-07T23:21:00,2026-03-08T00:10:00,UP
MOV-000148,TRN-12006,SEC-BCT-ST,2026-03-08T00:34:00,2026-03-08T01:24:00,UP
MOV-000149,TRN-12006,SEC-BCT-ST,2026-03-08T01:45:00,2026-03-08T02:22:00,UP
MOV-000150,TRN-12006,SEC-BCT-ST,2026-03-09T23:45:00,2026-03-10T00:31:00,UP
MOV-000151,TRN-12006,SEC-GZB-CNB,2026-03-10T00:45:00,2026-03-10T01:13:00,UP
MOV-000152,TRN-12006,SEC-ST-BRC,2026-03-10T01:23:00,2026-03-10T02:14:00,UP
MOV-000153,TRN-12006,SEC-BRC-ADI,2026-03-11T00:45:00,2026-03-11T01:28:00,UP
MOV-000154,TRN-12006,SEC-GZB-CNB,2026-03-11T01:41:00,2026-03-11T02:08:00,UP
MOV-000155,TRN-12006,SEC-BCT-ST,2026-03-11T02:23:00,2026-03-11T02:49:00,UP
MOV-000156,TRN-12006,SEC-MAS-RU,2026-03-12T00:45:00,2026-03-12T01:22:00,UP
MOV-000157,TRN-12006,SEC-DDU-PNBE,2026-03-12T01:36:00,2026-03-12T02:14:00,UP
MOV-000158,TRN-12006,SEC-CNB-PRYJ,2026-03-13T03:45:00,2026-03-13T04:24:00,UP
MOV-000159,TRN-12006,SEC-ST-BRC,2026-03-13T04:39:00,2026-03-13T05:25:00,UP
MOV-000160,TRN-12006,SEC-NDLS-GZB,2026-03-14T23:15:00,2026-03-14T23:43:00,UP
MOV-000161,TRN-12006,SEC-ST-BRC,2026-03-15T00:00:00,2026-03-15T00:41:00,UP
MOV-000162,TRN-12007,SEC-NDLS-GZB,2026-03-01T02:00:00,2026-03-01T02:48:00,DOWN
MOV-000163,TRN-12007,SEC-BCT-ST,2026-03-01T03:02:00,2026-03-01T03:34:00,DOWN
MOV-000164,TRN-12007,SEC-DDU-PNBE,2026-03-02T22:15:00,2026-03-02T22:58:00,DOWN
MOV-000165,TRN-12007,SEC-NDLS-GZB,2026-03-03T23:45:00,2026-03-04T00:34:00,DOWN
MOV-000166,TRN-12007,SEC-HWH-KGP,2026-03-04T01:02:00,2026-03-04T01:43:00,DOWN
MOV-000167,TRN-12007,SEC-BRC-ADI,2026-03-04T01:53:00,2026-03-04T02:36:00,DOWN
MOV-000168,TRN-12007,SEC-MAS-RU,2026-03-04T00:45:00,2026-03-04T01:26:00,DOWN
MOV-000169,TRN-12007,SEC-PRYJ-DDU,2026-03-05T00:00:00,2026-03-05T00:28:00,DOWN
MOV-000170,TRN-12007,SEC-BRC-ADI,2026-03-05T00:50:00,2026-03-05T01:43:00,DOWN
MOV-000171,TRN-12007,SEC-CNB-PRYJ,2026-03-05T01:59:00,2026-03-05T02:26:00,DOWN
MOV-000172,TRN-12007,SEC-CNB-PRYJ,2026-03-06T02:00:00,2026-03-06T02:25:00,DOWN
MOV-000173,TRN-12007,SEC-NDLS-GZB,2026-03-06T02:50:00,2026-03-06T03:30:00,DOWN
MOV-000174,TRN-12007,SEC-BCT-ST,2026-03-06T03:51:00,2026-03-06T04:40:00,DOWN
MOV-000175,TRN-12007,SEC-ST-BRC,2026-03-07T00:00:00,2026-03-07T00:42:00,DOWN
MOV-000176,TRN-12007,SEC-MAS-RU,2026-03-08T01:30:00,2026-03-08T02:21:00,DOWN
MOV-000177,TRN-12007,SEC-CNB-PRYJ,2026-03-08T02:45:00,2026-03-08T03:25:00,DOWN
MOV-000178,TRN-12007,SEC-HWH-KGP,2026-03-08T03:43:00,2026-03-08T04:32:00,DOWN
MOV-000179,TRN-12007,SEC-ST-BRC,2026-03-09T01:45:00,2026-03-09T02:29:00,DOWN
MOV-000180,TRN-12007,SEC-GZB-CNB,2026-03-10T00:15:00,2026-03-10T00:49:00,DOWN
MOV-000181,TRN-12007,SEC-ST-BRC,2026-03-10T01:12:00,2026-03-10T01:51:00,DOWN
MOV-000182,TRN-12007,SEC-MAS-RU,2026-03-10T02:13:00,2026-03-10T03:00:00,DOWN
MOV-000183,TRN-12007,SEC-MAS-RU,2026-03-11T01:45:00,2026-03-11T02:39:00,DOWN
MOV-000184,TRN-12007,SEC-ST-BRC,2026-03-11T03:08:00,2026-03-11T03:55:00,DOWN
MOV-000185,TRN-12007,SEC-BCT-ST,2026-03-12T00:15:00,2026-03-12T00:44:00,DOWN
MOV-000186,TRN-12007,SEC-BRC-ADI,2026-03-12T01:08:00,2026-03-12T01:45:00,DOWN
MOV-000187,TRN-12007,SEC-DDU-PNBE,2026-03-13T01:45:00,2026-03-13T02:25:00,DOWN
MOV-000188,TRN-12007,SEC-HWH-KGP,2026-03-14T00:45:00,2026-03-14T01:31:00,DOWN
MOV-000189,TRN-12007,SEC-GZB-CNB,2026-03-14T01:55:00,2026-03-14T02:25:00,DOWN
MOV-000190,TRN-12008,SEC-PRYJ-DDU,2026-03-01T18:45:00,2026-03-01T19:16:00,UP
MOV-000191,TRN-12008,SEC-ST-BRC,2026-03-01T19:30:00,2026-03-01T20:09:00,UP
MOV-000192,TRN-12008,SEC-BCT-ST,2026-03-02T18:30:00,2026-03-02T19:16:00,UP
MOV-000193,TRN-12008,SEC-CNB-PRYJ,2026-03-02T19:28:00,2026-03-02T20:10:00,UP
MOV-000194,TRN-12008,SEC-DDU-PNBE,2026-03-02T20:30:00,2026-03-02T21:01:00,UP
MOV-000195,TRN-12008,SEC-ST-BRC,2026-03-03T17:15:00,2026-03-03T17:50:00,UP
MOV-000196,TRN-12008,SEC-CNB-PRYJ,2026-03-03T18:10:00,2026-03-03T18:48:00,UP
MOV-000197,TRN-12008,SEC-CNB-PRYJ,2026-03-04T07:15:00,2026-03-04T08:03:00,UP
MOV-000198,TRN-12008,SEC-GZB-CNB,2026-03-04T08:28:00,2026-03-04T09:15:00,UP
MOV-000199,TRN-12008,SEC-MAS-RU,2026-03-04T09:35:00,2026-03-04T10:00:00,UP
MOV-000200,TRN-12008,SEC-MAS-RU,2026-03-05T07:45:00,2026-03-05T08:37:00,UP
MOV-000201,TRN-12008,SEC-BCT-ST,2026-03-05T08:56:00,2026-03-05T09:32:00,UP
MOV-000202,TRN-12008,SEC-DDU-PNBE,2026-03-06T18:45:00,2026-03-06T19:21:00,UP
MOV-000203,TRN-12008,SEC-ST-BRC,2026-03-07T06:30:00,2026-03-07T07:18:00,UP
MOV-000204,TRN-12008,SEC-MAS-RU,2026-03-07T07:47:00,2026-03-07T08:28:00,UP
MOV-000205,TRN-12008,SEC-GZB-CNB,2026-03-07T08:56:00,2026-03-07T09:21:00,UP
MOV-000206,TRN-12008,SEC-CNB-PRYJ,2026-03-08T06:30:00,2026-03-08T07:00:00,UP
MOV-000207,TRN-12008,SEC-PRYJ-DDU,2026-03-08T07:20:00,2026-03-08T08:03:00,UP
MOV-000208,TRN-12008,SEC-CNB-PRYJ,2026-03-09T07:15:00,2026-03-09T07:45:00,UP
MOV-000209,TRN-12008,SEC-PRYJ-DDU,2026-03-09T08:06:00,2026-03-09T08:35:00,UP
MOV-000210,TRN-12008,SEC-HWH-KGP,2026-03-10T07:15:00,2026-03-10T07:49:00,UP
MOV-000211,TRN-12008,SEC-BRC-ADI,2026-03-11T18:45:00,2026-03-11T19:27:00,UP
MOV-000212,TRN-12008,SEC-NDLS-GZB,2026-03-11T19:53:00,2026-03-11T20:42:00,UP
MOV-000213,TRN-12008,SEC-PRYJ-DDU,2026-03-11T20:59:00,2026-03-11T21:31:00,UP
MOV-000214,TRN-12008,SEC-DDU-PNBE,2026-03-12T07:15:00,2026-03-12T07:41:00,UP
MOV-000215,TRN-12008,SEC-HWH-KGP,2026-03-13T07:00:00,2026-03-13T07:38:00,UP
MOV-000216,TRN-12008,SEC-MAS-RU,2026-03-13T08:01:00,2026-03-13T08:37:00,UP
MOV-000217,TRN-12008,SEC-BCT-ST,2026-03-13T08:56:00,2026-03-13T09:35:00,UP
MOV-000218,TRN-12008,SEC-GZB-CNB,2026-03-14T16:30:00,2026-03-14T17:20:00,UP
MOV-000219,TRN-12009,SEC-BCT-ST,2026-03-01T21:45:00,2026-03-01T22:20:00,DOWN
MOV-000220,TRN-12009,SEC-CNB-PRYJ,2026-03-01T22:43:00,2026-03-01T23:12:00,DOWN
MOV-000221,TRN-12009,SEC-BRC-ADI,2026-03-02T14:15:00,2026-03-02T15:04:00,DOWN
MOV-000222,TRN-12009,SEC-HWH-KGP,2026-03-03T12:30:00,2026-03-03T13:24:00,DOWN
MOV-000223,TRN-12009,SEC-PRYJ-DDU,2026-03-03T13:47:00,2026-03-03T14:17:00,DOWN
MOV-000224,TRN-12009,SEC-PRYJ-DDU,2026-03-04T07:30:00,2026-03-04T08:14:00,DOWN
MOV-000225,TRN-12009,SEC-NDLS-GZB,2026-03-05T21:45:00,2026-03-05T22:37:00,DOWN
MOV-000226,TRN-12009,SEC-NDLS-GZB,2026-03-06T09:00:00,2026-03-06T09:39:00,DOWN
MOV-000227,TRN-12009,SEC-HWH-KGP,2026-03-06T09:51:00,2026-03-06T10:35:00,DOWN
MOV-000228,TRN-12009,SEC-ST-BRC,2026-03-07T14:45:00,2026-03-07T15:34:00,DOWN
MOV-000229,TRN-12009,SEC-BRC-ADI,2026-03-08T21:15:00,2026-03-08T22:03:00,DOWN
MOV-000230,TRN-12009,SEC-ST-BRC,2026-03-08T22:27:00,2026-03-08T22:59:00,DOWN
MOV-000231,TRN-12009,SEC-PRYJ-DDU,2026-03-09T19:30:00,2026-03-09T20:18:00,DOWN
MOV-000232,TRN-12009,SEC-BRC-ADI,2026-03-10T06:45:00,2026-03-10T07:26:00,DOWN
MOV-000233,TRN-12009,SEC-MAS-RU,2026-03-11T13:45:00,2026-03-11T14:18:00,DOWN
MOV-000234,TRN-12009,SEC-BRC-ADI,2026-03-11T14:28:00,2026-03-11T15:03:00,DOWN
MOV-000235,TRN-12009,SEC-GZB-CNB,2026-03-11T15:32:00,2026-03-11T16:11:00,DOWN
MOV-000236,TRN-12009,SEC-DDU-PNBE,2026-03-12T13:00:00,2026-03-12T13:38:00,DOWN
MOV-000237,TRN-12009,SEC-ST-BRC,2026-03-12T14:03:00,2026-03-12T14:46:00,DOWN
MOV-000238,TRN-12009,SEC-NDLS-GZB,2026-03-12T15:11:00,2026-03-12T15:49:00,DOWN
MOV-000239,TRN-12009,SEC-BRC-ADI,2026-03-13T07:15:00,2026-03-13T07:45:00,DOWN
MOV-000240,TRN-12009,SEC-DDU-PNBE,2026-03-13T08:02:00,2026-03-13T08:49:00,DOWN
MOV-000241,TRN-12009,SEC-BRC-ADI,2026-03-14T10:45:00,2026-03-14T11:36:00,DOWN
MOV-000242,TRN-12009,SEC-BCT-ST,2026-03-14T12:05:00,2026-03-14T12:33:00,DOWN
MOV-000243,TRN-12010,SEC-BRC-ADI,2026-03-01T06:30:00,2026-03-01T07:17:00,UP
MOV-000244,TRN-12010,SEC-CNB-PRYJ,2026-03-01T07:46:00,2026-03-01T08:18:00,UP
MOV-000245,TRN-12010,SEC-MAS-RU,2026-03-02T06:30:00,2026-03-02T07:20:00,UP
MOV-000246,TRN-12010,SEC-BRC-ADI,2026-03-02T07:38:00,2026-03-02T08:25:00,UP
MOV-000247,TRN-12010,SEC-MAS-RU,2026-03-03T14:00:00,2026-03-03T14:41:00,UP
