asset_id,asset_type,department,section_id,location,criticality,installation_date,age_years,condition_score,traffic_load,last_maintenance_date
AST-ENG-0017,BridgeExpansionJoint,ENGINEERING,SEC-BCT-ST,KM-362/8,5,2014-01-24,12.1,78.2,17.9,2025-06-18
AST-TRA-0018,PantographCatenaryBond,TRACTION,SEC-GZB-CNB,KM-208/14,4,2018-12-19,7.2,76.6,41.0,2025-11-16
AST-ENG-0019,TrackSegment,ENGINEERING,SEC-GZB-CNB,KM-27/25,2,2018-11-12,7.3,83.9,19.0,2025-09-25
AST-ENG-0020,CrossoverPoint,ENGINEERING,SEC-HWH-KGP,KM-6/6,2,2012-08-31,13.5,66.9,32.3,2025-12-11
AST-TRA-0021,OHE_Mast,TRACTION,SEC-BRC-ADI,KM-34/22,2,2019-05-14,6.8,74.8,54.7,2025-05-17
AST-ENG-0022,FishplatedJoint,ENGINEERING,SEC-BCT-ST,KM-222/5,2,2016-04-07,9.9,55.4,116.6,2025-08-18
AST-S_A-0023,TrackCircuit,S_AND_T,SEC-BRC-ADI,KM-338/1,2,2020-05-13,5.8,86.4,11.3,2026-01-12
AST-ENG-0024,TurnoutSwitch,ENGINEERING,SEC-GZB-CNB,KM-261/28,3,1998-07-26,27.6,42.0,19.1,2025-06-12
AST-S_A-0025,PointMachine,S_AND_T,SEC-GZB-CNB,KM-77/24,3,2018-03-01,8.0,78.1,41.2,2025-09-14
AST-ENG-0026,TrackSegment,ENGINEERING,SEC-GZB-CNB,KM-70/25,3,2009-10-06,16.4,62.0,39.5,2026-01-30
AST-ENG-0027,CrossoverPoint,ENGINEERING,SEC-GZB-CNB,KM-355/7,2,2004-08-31,21.5,59.4,22.6,2026-01-19
AST-ENG-0028,FishplatedJoint,ENGINEERING,SEC-DDU-PNBE,KM-370/20,4,2013-12-18,12.2,71.6,26.2,2026-01-17
AST-ENG-0029,FishplatedJoint,ENGINEERING,SEC-BCT-ST,KM-129/15,4,2025-03-01,1.0,87.2,36.2,2025-12-29
AST-ENG-0030,CrossoverPoint,ENGINEERING,SEC-PRYJ-DDU,KM-147/15,3,2017-03-01,9.0,82.9,28.0,2025-11-02
AST-ENG-0031,CrossoverPoint,ENGINEERING,SEC-BCT-ST,KM-384/25,4,2011-04-07,14.9,67.0,34.2,2025-08-28
AST-TRA-0032,SectionInsulator,TRACTION,SEC-HWH-KGP,KM-53/28,1,2002-01-24,24.1,62.8,15.1,2025-08-23
AST-S_A-0033,AxleCounter,S_AND_T,SEC-BRC-ADI,KM-398/24,5,2016-08-31,9.5,85.6,23.7,2026-02-12
AST-S_A-0034,AxleCounter,S_AND_T,SEC-ST-BRC,KM-209/22,4,2004-03-01,22.0,74.5,24.6,2025-07-12
AST-S_A-0035,TrackCircuit,S_AND_T,SEC-DDU-PNBE,KM-368/23,4,2009-04-07,16.9,69.9,37.2,2025-11-17
AST-ENG-0036,TrackSegment,ENGINEERING,SEC-NDLS-GZB,KM-374/17,3,2005-07-25,20.6,58.8,22.0,2025-10-13
AST-TRA-0037,OHE_Mast,TRACTION,SEC-BRC-ADI,KM-338/28,2,1996-03-01,30.0,47.9,12.2,2026-01-18
AST-TRA-0038,SubstationTransformer,TRACTION,SEC-DDU-PNBE,KM-118/29,3,2014-01-24,12.1,75.5,38.0,2025-10-07
AST-ENG-0039,BridgeExpansionJoint,ENGINEERING,SEC-MAS-RU,KM-18/4,5,2020-03-01,6.0,80.6,48.4,2025-10-08
AST-TRA-0040,OHE_Mast,TRACTION,SEC-MAS-RU,KM-80/1,4,2018-04-07,7.9,70.1,50.1,2025-05-31
AST-TRA-0041,ContactWireSegment,TRACTION,SEC-NDLS-GZB,KM-267/24,5,2015-08-31,10.5,84.2,64.3,2025-09-11
AST-TRA-0042,SectionInsulator,TRACTION,SEC-DDU-PNBE,KM-62/24,2,2018-10-07,7.4,74.9,78.3,2025-07-20
AST-ENG-0043,TurnoutSwitch,ENGINEERING,SEC-MAS-RU,KM-184/21,2,2019-11-12,6.3,85.3,19.4,2025-06-11
AST-ENG-0044,CrossoverPoint,ENGINEERING,SEC-CNB-PRYJ,KM-378/16,3,2009-04-07,16.9,69.2,57.8,2025-11-21
AST-S_A-0045,SignalPost,S_AND_T,SEC-GZB-CNB,KM-389/4,2,2009-04-07,16.9,61.6,39.1,2025-06-20
AST-S_A-0046,PointMachine,S_AND_T,SEC-ST-BRC,KM-127/27,3,2000-10-06,25.4,52.8,20.5,2026-02-04
AST-S_A-0047,TrackCircuit,S_AND_T,SEC-PRYJ-DDU,KM-99/23,3,2021-12-18,4.2,69.2,120.0,2026-01-09
AST-S_A-0048,InterlockingRelayRack,S_AND_T,SEC-BRC-ADI,KM-208/8,3,2020-11-12,5.3,85.0,45.0,2025-07-02
AST-ENG-0049,CrossoverPoint,ENGINEERING,SEC-PRYJ-DDU,KM-195/6,3,2023-11-12,2.3,97.4,12.2,2025-12-08
AST-ENG-0050,BridgeExpansionJoint,ENGINEERING,SEC-BCT-ST,KM-146/15,5,2014-03-01,12.0,72.8,41.8,2025-05-17
AST-ENG-0051,BridgeExpansionJoint,ENGINEERING,SEC-CNB-PRYJ,KM-302/16,2,2020-04-07,5.9,79.4,74.8,2025-08-13
AST-ENG-0052,TrackSegment,ENGINEERING,SEC-MAS-RU,KM-157/10,4,2015-04-07,10.9,80.9,27.6,2026-01-23
AST-ENG-0053,TrackSegment,ENGINEERING,SEC-CNB-PRYJ,KM-78/15,3,2024-12-18,1.2,94.3,14.3,2025-10-22
AST-TRA-0054,SectionInsulator,TRACTION,SEC-ST-BRC,KM-24/22,3,2012-06-19,13.7,65.2,43.7,2025-11-02
AST-TRA-0055,ContactWireSegment,TRACTION,SEC-BCT-ST,KM-48/25,3,2021-01-24,5.1,90.0,39.1,2025-11-16
AST-ENG-0056,TrackSegment,ENGINEERING,SEC-ST-BRC,KM-371/21,3,2022-11-12,3.3,81.2,37.8,2025-10-10
AST-S_A-0057,InterlockingRelayRack,S_AND_T,SEC-DDU-PNBE,KM-393/23,5,2018-05-14,7.8,75.1,47.3,2025-05-16
AST-TRA-0058,SectionInsulator,TRACTION,SEC-GZB-CNB,KM-393/5,4,2023-06-19,2.7,90.3,26.8,2025-11-24
AST-TRA-0059,ContactWireSegment,TRACTION,SEC-DDU-PNBE,KM-30/24,1,2019-12-19,6.2,77.2,43.4,2025-05-19
AST-ENG-0060,TrackSegment,ENGINEERING,SEC-HWH-KGP,KM-270/23,4,2020-10-06,5.4,92.8,47.3,2025-07-26
AST-TRA-0061,SubstationTransformer,TRACTION,SEC-NDLS-GZB,KM-380/15,4,2013-11-12,12.3,65.4,27.0,2025-09-18
AST-TRA-0062,ContactWireSegment,TRACTION,SEC-HWH-KGP,KM-120/21,3,2018-05-14,7.8,81.3,19.0,2025-08-30
AST-TRA-0063,SubstationTransformer,TRACTION,SEC-HWH-KGP,KM-255/9,3,2017-08-31,8.5,91.4,13.9,2025-11-08
AST-ENG-0064,TrackSegment,ENGINEERING,SEC-NDLS-GZB,KM-27/11,1,2020-12-18,5.2,77.7,60.7,2025-12-19
AST-S_A-0065,InterlockingRelayRack,S_AND_T,SEC-CNB-PRYJ,KM-139/27,2,2023-05-14,2.8,91.4,25.5,2026-02-07
AST-ENG-0066,TurnoutSwitch,ENGINEERING,SEC-CNB-PRYJ,KM-129/6,4,2014-06-19,11.7,74.6,40.2,2026-01-01
AST-TRA-0067,SubstationTransformer,TRACTION,SEC-ST-BRC,KM-103/24,5,2019-01-24,7.1,79.8,49.2,2025-07-07
AST-ENG-0068,CrossoverPoint,ENGINEERING,SEC-GZB-CNB,KM-15/28,2,2020-08-31,5.5,92.3,20.5,2025-05-17
AST-ENG-0069,FishplatedJoint,ENGINEERING,SEC-GZB-CNB,KM-254/12,1,2021-05-13,4.8,85.7,43.8,2025-11-24
AST-TRA-0070,OHE_Mast,TRACTION,SEC-GZB-CNB,KM-1/4,3,2023-04-07,2.9,95.3,27.8,2025-09-23
AST-ENG-0071,FishplatedJoint,ENGINEERING,SEC-DDU-PNBE,KM-345/20,2,2015-03-02,11.0,79.2,18.7,2025-08-26
AST-ENG-0072,TrackSegment,ENGINEERING,SEC-NDLS-GZB,KM-367/3,2,2011-06-19,14.7,73.5,10.8,2026-02-12
AST-TRA-0073,SubstationTransformer,TRACTION,SEC-NDLS-GZB,KM-112/25,3,2013-07-25,12.6,73.4,21.2,2025-05-15
AST-TRA-0074,SectionInsulator,TRACTION,SEC-NDLS-GZB,KM-145/22,3,2012-08-31,13.5,72.9,61.9,2025-06-28
AST-ENG-0075,BridgeExpansionJoint,ENGINEERING,SEC-PRYJ-DDU,KM-153/1,2,2022-05-14,3.8,82.2,78.6,2025-12-09
AST-ENG-0076,TrackSegment,ENGINEERING,SEC-ST-BRC,KM-277/2,3,2022-06-19,3.7,86.9,31.8,2025-12-27
AST-TRA-0077,OHE_Mast,TRACTION,SEC-MAS-RU,KM-166/16,3,2017-08-31,8.5,77.2,17.7,2025-12-22
AST-S_A-0078,SignalPost,S_AND_T,SEC-GZB-CNB,KM-93/25,2,2020-11-12,5.3,87.2,39.3,2025-06-10
AST-TRA-0079,SectionInsulator,TRACTION,SEC-HWH-KGP,KM-60/13,3,2017-12-18,8.2,84.5,37.6,2025-08-11
AST-S_A-0080,PointMachine,S_AND_T,SEC-DDU-PNBE,KM-60/11,2,2005-12-18,20.2,58.5,38.8,2025-05-16
AST-TRA-0081,SectionInsulator,TRACTION,SEC-PRYJ-DDU,KM-165/15,4,2004-10-06,21.4,52.4,27.4,2026-02-14
AST-S_A-0082,PointMachine,S_AND_T,SEC-DDU-PNBE,KM-10/7,3,2002-10-07,23.4,62.8,35.4,2025-05-11
AST-ENG-0083,TrackSegment,ENGINEERING,SEC-ST-BRC,KM-230/28,3,2010-08-31,15.5,76.8,38.1,2026-02-01
AST-TRA-0084,ContactWireSegment,TRACTION,SEC-BRC-ADI,KM-98/6,4,2016-05-13,9.8,75.8,50.2,2026-01-17
AST-ENG-0085,TrackSegment,ENGINEERING,SEC-NDLS-GZB,KM-4/14,5,2016-06-19,9.7,84.2,12.4,2025-11-21
AST-TRA-0086,PantographCatenaryBond,TRACTION,SEC-GZB-CNB,KM-393/18,5,2021-10-06,4.4,79.0,61.7,2025-05-11
AST-S_A-0087,AxleCounter,S_AND_T,SEC-BCT-ST,KM-208/5,2,2018-06-19,7.7,76.8,23.6,2025-06-21
AST-TRA-0088,SubstationTransformer,TRACTION,SEC-NDLS-GZB,KM-309/2,5,1999-05-14,26.8,55.3,17.5,2025-12-18
AST-ENG-0089,TrackSegment,ENGINEERING,SEC-DDU-PNBE,KM-74/8,4,2008-07-25,17.6,61.1,20.5,2025-11-22
AST-TRA-0090,OHE_Mast,TRACTION,SEC-NDLS-GZB,KM-355/1,3,2001-05-13,24.8,56.8,40.7,2025-07-08
AST-TRA-0091,OHE_Mast,TRACTION,SEC-DDU-PNBE,KM-333/28,2,2013-01-24,13.1,81.1,31.7,2026-02-14
AST-S_A-0092,PointMachine,S_AND_T,SEC-NDLS-GZB,KM-186/29,3,2014-10-07,11.4,74.7,40.1,2025-10-23
AST-TRA-0093,SectionInsulator,TRACTION,SEC-PRYJ-DDU,KM-224/2,3,2019-05-14,6.8,83.8,33.1,2025-09-16
AST-S_A-0094,AxleCounter,S_AND_T,SEC-BRC-ADI,KM-1/17,2,2020-06-19,5.7,87.0,33.7,2025-05-07
AST-TRA-0095,SectionInsulator,TRACTION,SEC-PRYJ-DDU,KM-166/22,3,2018-12-19,7.2,80.7,41.3,2026-01-20
AST-TRA-0096,SectionInsulator,TRACTION,SEC-BCT-ST,KM-17/29,4,2018-06-19,7.7,82.4,51.2,2025-10-09
AST-ENG-0097,FishplatedJoint,ENGINEERING,SEC-BCT-ST,KM-60/21,3,2016-01-24,10.1,82.6,32.1,2025-12-03
AST-ENG-0098,TrackSegment,ENGINEERING,SEC-PRYJ-DDU,KM-267/4,4,2014-06-19,11.7,59.5,68.1,2025-08-12
AST-S_A-0099,SignalPost,S_AND_T,SEC-GZB-CNB,KM-348/8,2,2012-11-12,13.3,66.6,38.8,2025-07-10
AST-S_A-0100,InterlockingRelayRack,S_AND_T,SEC-BRC-ADI,KM-102/9,3,2008-04-07,17.9,74.2,25.8,2025-08-20
AST-S_A-0101,PointMachine,S_AND_T,SEC-DDU-PNBE,KM-71/28,4,2021-04-07,4.9,81.3,47.0,2025-10-23
AST-TRA-0102,PantographCatenaryBond,TRACTION,SEC-PRYJ-DDU,KM-337/28,4,2017-12-18,8.2,72.7,112.5,2025-05-12
AST-ENG-0103,TurnoutSwitch,ENGINEERING,SEC-CNB-PRYJ,KM-185/17,3,2005-10-06,20.4,62.6,58.3,2025-10-08
AST-TRA-0104,SectionInsulator,TRACTION,SEC-CNB-PRYJ,KM-56/21,2,2018-01-24,8.1,97.2,21.0,2025-07-09
AST-TRA-0105,ContactWireSegment,TRACTION,SEC-HWH-KGP,KM-253/3,2,2014-03-01,12.0,69.0,35.0,2025-09-03
AST-ENG-0106,TrackSegment,ENGINEERING,SEC-BCT-ST,KM-221/8,4,2015-10-07,10.4,78.3,61.1,2025-09-25
AST-ENG-0107,TurnoutSwitch,ENGINEERING,SEC-DDU-PNBE,KM-71/13,1,2013-07-25,12.6,71.6,47.0,2025-10-25
AST-S_A-0108,PointMachine,S_AND_T,SEC-BRC-ADI,KM-320/5,4,2016-04-07,9.9,72.7,58.4,2025-09-27
AST-ENG-0109,TurnoutSwitch,ENGINEERING,SEC-NDLS-GZB,KM-35/13,4,2017-11-12,8.3,70.9,80.3,2025-11-30
AST-S_A-0110,InterlockingRelayRack,S_AND_T,SEC-DDU-PNBE,KM-327/2,3,2007-05-14,18.8,69.8,33.7,2026-01-19
AST-ENG-0111,CrossoverPoint,ENGINEERING,SEC-CNB-PRYJ,KM-250/7,4,2012-04-07,13.9,76.2,27.3,2025-07-30
AST-ENG-0112,FishplatedJoint,ENGINEERING,SEC-HWH-KGP,KM-261/6,3,2016-11-12,9.3,84.6,10.0,2025-10-10
AST-ENG-0113,TurnoutSwitch,ENGINEERING,SEC-BRC-ADI,KM-3/17,3,1994-07-26,31.6,48.2,27.0,2025-08-22
AST-ENG-0114,TurnoutSwitch,ENGINEERING,SEC-CNB-PRYJ,KM-303/4,3,2015-12-19,10.2,74.7,40.8,2025-06-24
AST-ENG-0115,TurnoutSwitch,ENGINEERING,SEC-NDLS-GZB,KM-4/7,4,2014-07-26,11.6,75.5,30.9,2025-10-02
AST-ENG-0116,TrackSegment,ENGINEERING,SEC-DDU-PNBE,KM-234/14,4,2005-06-19,20.7,65.6,17.1,2025-12-21
AST-TRA-0117,OHE_Mast,TRACTION,SEC-PRYJ-DDU,KM-138/11,1,1996-10-06,29.4,45.5,51.6,2025-07-30
AST-ENG-0118,TrackSegment,ENGINEERING,SEC-NDLS-GZB,KM-47/14,2,2007-01-24,19.1,50.3,63.1,2025-08-22
AST-ENG-0119,TrackSegment,ENGINEERING,SEC-PRYJ-DDU,KM-187/28,3,2013-03-01,13.0,66.9,18.9,2025-05-18
AST-ENG-0120,TurnoutSwitch,ENGINEERING,SEC-BRC-ADI,KM-234/14,3,2012-11-12,13.3,66.2,62.7,2026-01-09
AST-ENG-0121,FishplatedJoint,ENGINEERING,SEC-ST-BRC,KM-152/27,5,2017-10-06,8.4,78.5,53.7,2025-11-07
AST-ENG-0122,CrossoverPoint,ENGINEERING,SEC-HWH-KGP,KM-138/3,1,2019-05-14,6.8,84.3,34.8,2025-10-30
AST-ENG-0123,CrossoverPoint,ENGINEERING,SEC-MAS-RU,KM-388/27,3,2012-12-18,13.2,61.8,68.4,2025-05-12
AST-ENG-0124,TrackSegment,ENGINEERING,SEC-HWH-KGP,KM-272/27,1,2008-03-01,18.0,71.5,12.1,2025-09-07
AST-ENG-0125,FishplatedJoint,ENGINEERING,SEC-MAS-RU,KM-395/11,3,2015-11-12,10.3,82.2,27.2,2026-01-24
AST-TRA-0126,PantographCatenaryBond,TRACTION,SEC-MAS-RU,KM-75/28,4,2024-05-13,1.8,81.6,48.3,2025-08-29
AST-ENG-0127,FishplatedJoint,ENGINEERING,SEC-PRYJ-DDU,KM-51/13,2,2011-06-19,14.7,69.0,40.5,2025-05-23
AST-S_A-0128,AxleCounter,S_AND_T,SEC-DDU-PNBE,KM-276/17,4,2016-12-18,9.2,72.8,37.1,2025-12-30
AST-ENG-0129,CrossoverPoint,ENGINEERING,SEC-GZB-CNB,KM-197/10,1,2010-11-12,15.3,67.8,40.7,2025-05-08
AST-S_A-0130,InterlockingRelayRack,S_AND_T,SEC-PRYJ-DDU,KM-172/4,1,2019-07-26,6.6,74.6,105.1,2025-10-15
AST-TRA-0131,ContactWireSegment,TRACTION,SEC-NDLS-GZB,KM-125/28,4,2014-08-31,11.5,70.1,41.8,2025-07-28
AST-ENG-0132,TurnoutSwitch,ENGINEERING,SEC-HWH-KGP,KM-26/5,3,2018-11-12,7.3,90.4,18.8,2025-05-14
AST-TRA-0133,OHE_Mast,TRACTION,SEC-HWH-KGP,KM-248/25,5,2016-12-18,9.2,81.0,43.7,2025-10-13
AST-S_A-0134,TrackCircuit,S_AND_T,SEC-DDU-PNBE,KM-183/26,3,2016-04-07,9.9,76.1,19.2,2025-10-27
AST-S_A-0135,SignalPost,S_AND_T,SEC-NDLS-GZB,KM-126/5,2,2001-08-31,24.5,49.8,30.2,2025-09-07
AST-ENG-0136,TrackSegment,ENGINEERING,SEC-HWH-KGP,KM-26/5,3,2015-04-07,10.9,87.1,33.0,2025-12-21
AST-TRA-0137,SectionInsulator,TRACTION,SEC-HWH-KGP,KM-51/11,1,1997-05-13,28.8,44.7,53.8,2025-10-17
AST-ENG-0138,TrackSegment,ENGINEERING,SEC-GZB-CNB,KM-261/6,3,2010-06-19,15.7,59.8,48.1,2025-08-07
AST-S_A-0139,AxleCounter,S_AND_T,SEC-BCT-ST,KM-13/15,3,2025-07-25,0.6,87.2,58.0,2025-12-08
AST-S_A-0140,PointMachine,S_AND_T,SEC-ST-BRC,KM-21/18,3,2018-06-19,7.7,78.8,28.1,2025-05-11
AST-ENG-0141,CrossoverPoint,ENGINEERING,SEC-ST-BRC,KM-78/25,3,2002-06-19,23.7,47.0,53.6,2025-08-19
AST-S_A-0142,InterlockingRelayRack,S_AND_T,SEC-NDLS-GZB,KM-294/15,2,2023-10-07,2.4,83.3,58.1,2025-10-06
AST-ENG-0143,CrossoverPoint,ENGINEERING,SEC-GZB-CNB,KM-40/28,2,2003-04-07,22.9,50.4,43.9,2025-06-21
AST-ENG-0144,TrackSegment,ENGINEERING,SEC-BRC-ADI,KM-191/24,2,2019-12-19,6.2,82.0,24.3,2026-01-03
AST-TRA-0145,SubstationTransformer,TRACTION,SEC-BRC-ADI,KM-44/24,3,2019-08-31,6.5,82.7,64.2,2025-07-25
AST-TRA-0146,ContactWireSegment,TRACTION,SEC-GZB-CNB,KM-126/6,2,2013-05-13,12.8,76.8,12.2,2025-11-29
AST-S_A-0147,TrackCircuit,S_AND_T,SEC-ST-BRC,KM-10/26,5,2017-11-12,8.3,75.2,56.8,2025-10-04
AST-ENG-0148,CrossoverPoint,ENGINEERING,SEC-DDU-PNBE,KM-227/23,4,1999-12-19,26.2,45.3,48.2,2025-09-10
AST-TRA-0149,OHE_Mast,TRACTION,SEC-PRYJ-DDU,KM-52/12,2,2006-08-31,19.5,67.6,13.6,2025-12-13
AST-ENG-0150,TrackSegment,ENGINEERING,SEC-ST-BRC,KM-379/23,4,2019-12-19,6.2,80.3,48.7,2025-10-23
AST-ENG-0151,TurnoutSwitch,ENGINEERING,SEC-ST-BRC,KM-399/24,2,2019-12-19,6.2,84.8,35.9,2025-07-08
AST-TRA-0152,SectionInsulator,TRACTION,SEC-BCT-ST,KM-151/22,2,2016-08-31,9.5,86.3,10.9,2025-06-21
AST-TRA-0153,SectionInsulator,TRACTION,SEC-NDLS-GZB,KM-56/12,4,2024-11-12,1.3,89.0,20.2,2025-09-17
AST-S_A-0154,TrackCircuit,S_AND_T,SEC-GZB-CNB,KM-393/5,3,2015-05-14,10.8,83.4,19.4,2025-10-20
AST-ENG-0155,TrackSegment,ENGINEERING,SEC-GZB-CNB,KM-162/14,2,2015-08-31,10.5,81.2,27.3,2025-11-28
AST-TRA-0156,OHE_Mast,TRACTION,SEC-BCT-ST,KM-161/27,4,2014-11-12,11.3,76.1,44.2,2025-12-12
AST-TRA-0157,SectionInsulator,TRACTION,SEC-MAS-RU,KM-100/25,2,2014-07-26,11.6,76.6,18.0,2026-01-11
AST-TRA-0158,SectionInsulator,TRACTION,SEC-GZB-CNB,KM-291/29,4,2017-12-18,8.2,81.9,42.6,2025-10-12
AST-ENG-0159,TurnoutSwitch,ENGINEERING,SEC-BCT-ST,KM-269/15,3,2017-11-12,8.3,81.6,25.7,2025-12-04
AST-ENG-0160,CrossoverPoint,ENGINEERING,SEC-PRYJ-DDU,KM-318/14,4,2016-01-24,10.1,84.3,19.1,2025-05-17
AST-ENG-0161,CrossoverPoint,ENGINEERING,SEC-DDU-PNBE,KM-246/26,2,2020-04-07,5.9,85.7,14.9,2025-12-17
AST-S_A-0162,PointMachine,S_AND_T,SEC-CNB-PRYJ,KM-263/28,1,2023-01-24,3.1,94.9,25.3,2025-06-23
AST-TRA-0163,SectionInsulator,TRACTION,SEC-NDLS-GZB,KM-336/12,5,2019-07-26,6.6,82.0,30.6,2025-11-22
AST-S_A-0164,PointMachine,S_AND_T,SEC-DDU-PNBE,KM-311/24,2,2015-08-31,10.5,77.7,25.9,2025-12-06
AST-S_A-0165,SignalPost,S_AND_T,SEC-DDU-PNBE,KM-25/19,2,2017-10-06,8.4,80.7,10.6,2025-12-28
AST-TRA-0166,PantographCatenaryBond,TRACTION,SEC-MAS-RU,KM-133/25,2,2009-06-19,16.7,64.5,23.8,2025-12-28
AST-TRA-0167,SectionInsulator,TRACTION,SEC-BCT-ST,KM-34/23,3,2017-05-13,8.8,83.3,29.7,2025-12-29
AST-ENG-0168,CrossoverPoint,ENGINEERING,SEC-DDU-PNBE,KM-318/23,2,2005-07-25,20.6,57.9,17.2,2025-12-02
AST-TRA-0169,ContactWireSegment,TRACTION,SEC-PRYJ-DDU,KM-301/7,4,2019-12-19,6.2,93.5,25.0,2025-10-11
AST-S_A-0170,TrackCircuit,S_AND_T,SEC-HWH-KGP,KM-54/10,4,2019-12-19,6.2,91.7,19.6,2025-08-01
AST-ENG-0171,FishplatedJoint,ENGINEERING,SEC-BRC-ADI,KM-308/7,4,2019-03-02,7.0,86.8,17.3,2025-05-26
AST-S_A-0172,AxleCounter,S_AND_T,SEC-ST-BRC,KM-241/29,1,2016-04-07,9.9,85.3,20.3,2025-07-19
AST-S_A-0173,AxleCounter,S_AND_T,SEC-GZB-CNB,KM-170/7,1,2016-11-12,9.3,79.1,28.5,2025-05-12
AST-TRA-0174,OHE_Mast,TRACTION,SEC-HWH-KGP,KM-67/12,3,2018-06-19,7.7,81.5,34.7,2025-08-20
AST-TRA-0175,SubstationTransformer,TRACTION,SEC-MAS-RU,KM-144/29,2,2015-03-02,11.0,76.8,36.1,2026-01-14
AST-S_A-0176,AxleCounter,S_AND_T,SEC-BRC-ADI,KM-344/12,2,2012-08-31,13.5,64.5,46.4,2025-05-25
AST-TRA-0177,SubstationTransformer,TRACTION,SEC-BRC-ADI,KM-384/8,3,2014-04-07,11.9,80.1,34.6,2025-06-29
AST-ENG-0178,TurnoutSwitch,ENGINEERING,SEC-BCT-ST,KM-51/13,4,2022-06-19,3.7,93.1,33.7,2025-12-23
AST-ENG-0179,TurnoutSwitch,ENGINEERING,SEC-ST-BRC,KM-356/8,1,2013-11-12,12.3,67.6,30.4,2025-12-11
AST-ENG-0180,CrossoverPoint,ENGINEERING,SEC-PRYJ-DDU,KM-29/14,4,2015-11-12,10.3,81.0,46.5,2025-07-01
AST-S_A-0181,SignalPost,S_AND_T,SEC-BRC-ADI,KM-79/18,5,2023-11-12,2.3,88.7,81.8,2026-01-16
AST-S_A-0182,PointMachine,S_AND_T,SEC-PRYJ-DDU,KM-8/10,3,2021-08-31,4.5,87.2,15.2,2025-10-12
AST-S_A-0183,TrackCircuit,S_AND_T,SEC-CNB-PRYJ,KM-72/2,2,2023-03-02,3.0,92.6,26.4,2025-08-25
AST-ENG-0184,FishplatedJoint,ENGINEERING,SEC-PRYJ-DDU,KM-370/16,1,2015-12-19,10.2,74.8,41.2,2025-05-19
AST-TRA-0185,OHE_Mast,TRACTION,SEC-ST-BRC,KM-375/18,3,2009-08-31,16.5,68.3,15.9,2025-09-18
AST-S_A-0186,AxleCounter,S_AND_T,SEC-BCT-ST,KM-125/27,4,2010-12-19,15.2,78.0,14.0,2025-05-14
AST-ENG-0187,FishplatedJoint,ENGINEERING,SEC-MAS-RU,KM-263/11,4,2020-03-01,6.0,79.4,17.5,2025-09-13
AST-ENG-0188,TrackSegment,ENGINEERING,SEC-ST-BRC,KM-270/25,1,2000-01-24,26.1,54.4,37.4,2025-11-10
AST-TRA-0189,OHE_Mast,TRACTION,SEC-DDU-PNBE,KM-320/28,4,2019-10-07,6.4,85.7,24.0,2026-01-08
AST-ENG-0190,TrackSegment,ENGINEERING,SEC-DDU-PNBE,KM-56/7,3,2018-03-01,8.0,84.2,34.9,2025-10-12
