history_id,asset_id,section_id,department,maintenance_type,completed_date,duration_hours,cost,failure_occurred_after_days
HIST-000089,AST-TRA-0037,SEC-BRC-ADI,TRACTION,ContactWireReplacement,2025-12-09,4.2,103522.94,349
HIST-000090,AST-TRA-0038,SEC-DDU-PNBE,TRACTION,OHE_Inspection,2025-01-26,3.5,103883.55,339
HIST-000091,AST-TRA-0038,SEC-DDU-PNBE,TRACTION,CatenaryRetensioning,2025-06-07,3.5,82996.38,52
HIST-000092,AST-TRA-0038,SEC-DDU-PNBE,TRACTION,OHE_Inspection,2025-05-14,3.1,63712.3,206
HIST-000093,AST-ENG-0039,SEC-MAS-RU,ENGINEERING,RailGrinding,2025-04-05,2.7,18450.57,301
HIST-000094,AST-ENG-0039,SEC-MAS-RU,ENGINEERING,RailGrinding,2025-10-19,2.2,122133.57,190
HIST-000095,AST-TRA-0040,SEC-MAS-RU,TRACTION,ContactWireReplacement,2025-12-21,3.9,17594.27,310
HIST-000096,AST-TRA-0040,SEC-MAS-RU,TRACTION,TransformerOilFiltration,2025-10-06,3.2,119442.72,309
HIST-000097,AST-TRA-0041,SEC-NDLS-GZB,TRACTION,TransformerOilFiltration,2024-07-18,1.7,122896.69,346
HIST-000098,AST-TRA-0041,SEC-NDLS-GZB,TRACTION,SectionInsulatorAdjust,2025-11-14,2.1,140779.81,332
HIST-000099,AST-TRA-0041,SEC-NDLS-GZB,TRACTION,OHE_Inspection,2025-05-05,3.3,86110.97,329
HIST-000100,AST-TRA-0042,SEC-DDU-PNBE,TRACTION,OHE_Inspection,2025-10-16,3.2,15822.47,337
HIST-000101,AST-ENG-0043,SEC-MAS-RU,ENGINEERING,JointWelding,2026-01-18,2.0,95829.69,293
HIST-000102,AST-ENG-0043,SEC-MAS-RU,ENGINEERING,SwitchOverhaul,2025-05-06,2.3,91857.36,237
HIST-000103,AST-ENG-0043,SEC-MAS-RU,ENGINEERING,RailGrinding,2025-08-23,4.1,53885.78,347
HIST-000104,AST-ENG-0043,SEC-MAS-RU,ENGINEERING,BallastCleaning,2025-07-25,3.0,144603.14,228
HIST-000105,AST-ENG-0044,SEC-CNB-PRYJ,ENGINEERING,BallastCleaning,2026-01-24,4.3,36979.49,364
HIST-000106,AST-ENG-0044,SEC-CNB-PRYJ,ENGINEERING,TrackTamping,2025-01-27,3.4,64367.23,78
HIST-000107,AST-S_A-0045,SEC-GZB-CNB,S_AND_T,AxleCounterCalibration,2024-04-22,1.9,127589.99,177
HIST-000108,AST-S_A-0045,SEC-GZB-CNB,S_AND_T,CableMeggering,2026-01-06,3.6,116089.59,278
HIST-000109,AST-S_A-0045,SEC-GZB-CNB,S_AND_T,AxleCounterCalibration,2025-08-06,1.6,41580.17,250
HIST-000110,AST-S_A-0046,SEC-ST-BRC,S_AND_T,SignalTesting,2024-05-16,2.2,30036.72,281
HIST-000111,AST-S_A-0046,SEC-ST-BRC,S_AND_T,CableMeggering,2025-08-17,1.8,49704.46,67
HIST-000112,AST-S_A-0046,SEC-ST-BRC,S_AND_T,AxleCounterCalibration,2025-09-30,2.4,146514.15,47
HIST-000113,AST-S_A-0046,SEC-ST-BRC,S_AND_T,PointMachineOverhaul,2024-07-13,3.0,115701.33,335
HIST-000114,AST-S_A-0047,SEC-PRYJ-DDU,S_AND_T,RelayInterlockingInspection,2024-05-25,3.5,97156.01,159
HIST-000115,AST-S_A-0047,SEC-PRYJ-DDU,S_AND_T,PointMachineOverhaul,2024-11-21,3.6,121889.61,300
HIST-000116,AST-S_A-0047,SEC-PRYJ-DDU,S_AND_T,SignalTesting,2024-08-11,3.5,114497.96,195
HIST-000117,AST-S_A-0048,SEC-BRC-ADI,S_AND_T,CableMeggering,2024-05-31,2.4,47917.34,350
HIST-000118,AST-S_A-0048,SEC-BRC-ADI,S_AND_T,SignalTesting,2024-06-29,2.7,64669.58,124
HIST-000119,AST-ENG-0049,SEC-PRYJ-DDU,ENGINEERING,JointWelding,2024-06-08,3.6,122195.25,190
HIST-000120,AST-ENG-0049,SEC-PRYJ-DDU,ENGINEERING,SwitchOverhaul,2025-06-10,4.3,123338.52,206
HIST-000121,AST-ENG-0049,SEC-PRYJ-DDU,ENGINEERING,BallastCleaning,2025-05-07,3.1,18047.94,349
HIST-000122,AST-ENG-0050,SEC-BCT-ST,ENGINEERING,RailGrinding,2025-08-09,2.0,93849.19,243
HIST-000123,AST-ENG-0050,SEC-BCT-ST,ENGINEERING,RailGrinding,2025-11-18,3.1,15253.1,214
HIST-000124,AST-ENG-0050,SEC-BCT-ST,ENGINEERING,BallastCleaning,2024-07-11,1.9,74118.64,160
HIST-000125,AST-ENG-0051,SEC-CNB-PRYJ,ENGINEERING,JointWelding,2025-03-11,3.1,20875.68,248
HIST-000126,AST-ENG-0051,SEC-CNB-PRYJ,ENGINEERING,JointWelding,2025-05-18,2.9,25393.35,146
HIST-000127,AST-ENG-0051,SEC-CNB-PRYJ,ENGINEERING,JointWelding,2024-08-31,3.4,72633.39,256
HIST-000128,AST-ENG-0052,SEC-MAS-RU,ENGINEERING,JointWelding,2025-04-30,1.7,55359.3,216
HIST-000129,AST-ENG-0053,SEC-CNB-PRYJ,ENGINEERING,BallastCleaning,2024-04-09,2.8,45019.02,256
HIST-000130,AST-ENG-0053,SEC-CNB-PRYJ,ENGINEERING,SwitchOverhaul,2026-01-07,2.3,36919.96,125
HIST-000131,AST-TRA-0054,SEC-ST-BRC,TRACTION,SectionInsulatorAdjust,2025-09-28,3.4,24423.82,243
HIST-000132,AST-TRA-0055,SEC-BCT-ST,TRACTION,SectionInsulatorAdjust,2024-04-30,3.2,107609.87,312
HIST-000133,AST-ENG-0056,SEC-ST-BRC,ENGINEERING,SwitchOverhaul,2024-06-25,4.3,96141.79,86
HIST-000134,AST-S_A-0057,SEC-DDU-PNBE,S_AND_T,RelayInterlockingInspection,2024-11-26,2.5,21653.85,318
HIST-000135,AST-TRA-0058,SEC-GZB-CNB,TRACTION,CatenaryRetensioning,2024-12-11,2.7,131729.82,120
HIST-000136,AST-TRA-0058,SEC-GZB-CNB,TRACTION,ContactWireReplacement,2025-02-24,1.5,101009.05,210
HIST-000137,AST-TRA-0059,SEC-DDU-PNBE,TRACTION,OHE_Inspection,2025-11-19,2.3,67971.7,198
HIST-000138,AST-TRA-0059,SEC-DDU-PNBE,TRACTION,TransformerOilFiltration,2026-01-23,1.5,53418.78,209
HIST-000139,AST-ENG-0060,SEC-HWH-KGP,ENGINEERING,TrackTamping,2025-09-06,2.5,58391.9,355
HIST-000140,AST-ENG-0060,SEC-HWH-KGP,ENGINEERING,SwitchOverhaul,2025-05-21,2.2,77136.36,264
HIST-000141,AST-ENG-0060,SEC-HWH-KGP,ENGINEERING,SwitchOverhaul,2026-01-22,2.5,143084.3,321
HIST-000142,AST-ENG-0060,SEC-HWH-KGP,ENGINEERING,BallastCleaning,2024-04-14,2.5,43076.23,83
HIST-000143,AST-TRA-0061,SEC-NDLS-GZB,TRACTION,SectionInsulatorAdjust,2025-09-27,3.2,72463.03,202
HIST-000144,AST-TRA-0062,SEC-HWH-KGP,TRACTION,ContactWireReplacement,2025-08-01,4.5,139696.45,134
HIST-000145,AST-TRA-0062,SEC-HWH-KGP,TRACTION,OHE_Inspection,2024-07-08,3.5,76678.48,203
HIST-000146,AST-TRA-0063,SEC-HWH-KGP,TRACTION,TransformerOilFiltration,2025-07-18,4.2,24043.42,57
HIST-000147,AST-TRA-0063,SEC-HWH-KGP,TRACTION,SectionInsulatorAdjust,2025-06-10,2.0,32190.01,360
HIST-000148,AST-TRA-0063,SEC-HWH-KGP,TRACTION,SectionInsulatorAdjust,2025-03-20,3.8,105756.93,305
HIST-000149,AST-ENG-0064,SEC-NDLS-GZB,ENGINEERING,SwitchOverhaul,2024-11-08,1.9,97109.96,242
HIST-000150,AST-ENG-0064,SEC-NDLS-GZB,ENGINEERING,RailGrinding,2024-08-28,2.2,32203.15,321
HIST-000151,AST-ENG-0064,SEC-NDLS-GZB,ENGINEERING,SwitchOverhaul,2025-05-04,2.3,19310.48,73
HIST-000152,AST-ENG-0064,SEC-NDLS-GZB,ENGINEERING,SwitchOverhaul,2024-07-27,2.5,16542.93,206
HIST-000153,AST-S_A-0065,SEC-CNB-PRYJ,S_AND_T,SignalTesting,2026-01-07,3.0,35212.48,298
HIST-000154,AST-S_A-0065,SEC-CNB-PRYJ,S_AND_T,PointMachineOverhaul,2025-03-24,2.0,30239.01,180
HIST-000155,AST-S_A-0065,SEC-CNB-PRYJ,S_AND_T,PointMachineOverhaul,2025-07-29,2.1,61395.6,220
HIST-000156,AST-ENG-0066,SEC-CNB-PRYJ,ENGINEERING,TrackTamping,2025-03-16,1.9,20246.86,179
HIST-000157,AST-ENG-0066,SEC-CNB-PRYJ,ENGINEERING,TrackTamping,2024-12-22,2.6,112038.28,195
HIST-000158,AST-TRA-0067,SEC-ST-BRC,TRACTION,SectionInsulatorAdjust,2025-05-16,3.6,15532.37,267
HIST-000159,AST-ENG-0068,SEC-GZB-CNB,ENGINEERING,TrackTamping,2025-05-28,1.7,86731.32,363
HIST-000160,AST-ENG-0069,SEC-GZB-CNB,ENGINEERING,JointWelding,2025-03-28,3.0,113273.84,138
HIST-000161,AST-TRA-0070,SEC-GZB-CNB,TRACTION,TransformerOilFiltration,2024-11-04,4.3,148682.5,261
HIST-000162,AST-TRA-0070,SEC-GZB-CNB,TRACTION,OHE_Inspection,2025-06-04,2.6,45152.78,85
HIST-000163,AST-TRA-0070,SEC-GZB-CNB,TRACTION,TransformerOilFiltration,2026-01-17,2.6,79860.67,352
HIST-000164,AST-TRA-0070,SEC-GZB-CNB,TRACTION,OHE_Inspection,2024-09-06,3.1,60246.77,132
HIST-000165,AST-ENG-0071,SEC-DDU-PNBE,ENGINEERING,SwitchOverhaul,2024-08-23,1.5,104106.93,249
HIST-000166,AST-ENG-0072,SEC-NDLS-GZB,ENGINEERING,SwitchOverhaul,2025-10-08,3.2,69200.16,276
HIST-000167,AST-ENG-0072,SEC-NDLS-GZB,ENGINEERING,SwitchOverhaul,2024-10-21,4.1,120130.4,298
HIST-000168,AST-ENG-0072,SEC-NDLS-GZB,ENGINEERING,BallastCleaning,2025-01-30,2.7,121518.53,276
HIST-000169,AST-TRA-0073,SEC-NDLS-GZB,TRACTION,ContactWireReplacement,2024-07-24,2.2,51448.48,88
HIST-000170,AST-TRA-0074,SEC-NDLS-GZB,TRACTION,OHE_Inspection,2025-10-11,2.1,95397.81,170
HIST-000171,AST-TRA-0074,SEC-NDLS-GZB,TRACTION,OHE_Inspection,2026-01-21,2.3,104845.29,313
HIST-000172,AST-ENG-0075,SEC-PRYJ-DDU,ENGINEERING,BallastCleaning,2024-09-20,3.9,147909.06,77
HIST-000173,AST-ENG-0075,SEC-PRYJ-DDU,ENGINEERING,SwitchOverhaul,2025-01-17,1.8,145747.6,70
HIST-000174,AST-ENG-0076,SEC-ST-BRC,ENGINEERING,BallastCleaning,2024-11-01,3.5,39248.38,285
HIST-000175,AST-ENG-0076,SEC-ST-BRC,ENGINEERING,BallastCleaning,2025-02-25,3.9,131959.0,49
HIST-000176,AST-ENG-0076,SEC-ST-BRC,ENGINEERING,RailGrinding,2025-08-24,2.0,144367.38,235
HIST-000177,AST-TRA-0077,SEC-MAS-RU,TRACTION,TransformerOilFiltration,2025-08-15,2.2,98167.28,277
HIST-000178,AST-S_A-0078,SEC-GZB-CNB,S_AND_T,AxleCounterCalibration,2024-11-15,4.0,134525.07,150
HIST-000179,AST-TRA-0079,SEC-HWH-KGP,TRACTION,OHE_Inspection,2024-07-07,3.7,90531.25,150
HIST-000180,AST-S_A-0080,SEC-DDU-PNBE,S_AND_T,AxleCounterCalibration,2024-12-29,3.3,33313.31,197
HIST-000181,AST-S_A-0080,SEC-DDU-PNBE,S_AND_T,AxleCounterCalibration,2025-07-14,2.0,52814.25,281
HIST-000182,AST-TRA-0081,SEC-PRYJ-DDU,TRACTION,ContactWireReplacement,2024-04-19,3.8,89227.92,296
HIST-000183,AST-S_A-0082,SEC-DDU-PNBE,S_AND_T,RelayInterlockingInspection,2026-01-14,4.2,133857.95,363
HIST-000184,AST-ENG-0083,SEC-ST-BRC,ENGINEERING,JointWelding,2025-05-19,3.3,144949.33,234
HIST-000185,AST-ENG-0083,SEC-ST-BRC,ENGINEERING,RailGrinding,2024-05-05,4.1,121983.81,145
HIST-000186,AST-ENG-0083,SEC-ST-BRC,ENGINEERING,SwitchOverhaul,2025-09-09,4.2,66865.65,73
HIST-000187,AST-ENG-0083,SEC-ST-BRC,ENGINEERING,SwitchOverhaul,2025-05-07,3.7,133764.51,249
HIST-000188,AST-TRA-0084,SEC-BRC-ADI,TRACTION,OHE_Inspection,2024-06-23,4.4,39114.86,275
HIST-000189,AST-TRA-0084,SEC-BRC-ADI,TRACTION,CatenaryRetensioning,2024-10-02,1.7,90008.95,220
HIST-000190,AST-TRA-0084,SEC-BRC-ADI,TRACTION,TransformerOilFiltration,2025-12-01,2.7,26017.27,226
HIST-000191,AST-ENG-0085,SEC-NDLS-GZB,ENGINEERING,RailGrinding,2024-11-22,2.0,108748.96,278
HIST-000192,AST-ENG-0085,SEC-NDLS-GZB,ENGINEERING,TrackTamping,2026-01-18,1.9,34894.04,331
HIST-000193,AST-ENG-0085,SEC-NDLS-GZB,ENGINEERING,RailGrinding,2024-12-25,3.3,124262.45,294
HIST-000194,AST-TRA-0086,SEC-GZB-CNB,TRACTION,SectionInsulatorAdjust,2024-12-30,4.4,67779.57,300
HIST-000195,AST-S_A-0087,SEC-BCT-ST,S_AND_T,PointMachineOverhaul,2025-10-22,3.3,88858.91,88
HIST-000196,AST-TRA-0088,SEC-NDLS-GZB,TRACTION,ContactWireReplacement,2025-09-29,4.4,49184.11,327
HIST-000197,AST-TRA-0088,SEC-NDLS-GZB,TRACTION,ContactWireReplacement,2025-06-30,2.1,67301.91,354
HIST-000198,AST-TRA-0088,SEC-NDLS-GZB,TRACTION,TransformerOilFiltration,2024-07-08,1.7,78852.18,235
HIST-000199,AST-ENG-0089,SEC-DDU-PNBE,ENGINEERING,JointWelding,2025-12-01,2.7,102527.61,174
HIST-000200,AST-ENG-0089,SEC-DDU-PNBE,ENGINEERING,BallastCleaning,2024-09-06,4.1,17197.15,57
HIST-000201,AST-TRA-0090,SEC-NDLS-GZB,TRACTION,OHE_Inspection,2025-05-16,2.4,133754.52,60
HIST-000202,AST-TRA-0090,SEC-NDLS-GZB,TRACTION,SectionInsulatorAdjust,2024-10-25,3.0,112457.06,100
HIST-000203,AST-TRA-0090,SEC-NDLS-GZB,TRACTION,CatenaryRetensioning,2025-07-29,3.4,18331.18,91
HIST-000204,AST-TRA-0090,SEC-NDLS-GZB,TRACTION,SectionInsulatorAdjust,2025-03-02,1.6,95798.94,93
HIST-000205,AST-TRA-0091,SEC-DDU-PNBE,TRACTION,TransformerOilFiltration,2024-08-28,3.9,110362.36,56
HIST-000206,AST-TRA-0091,SEC-DDU-PNBE,TRACTION,SectionInsulatorAdjust,2024-10-16,2.2,68135.39,212
HIST-000207,AST-TRA-0091,SEC-DDU-PNBE,TRACTION,TransformerOilFiltration,2025-11-11,2.4,58123.95,121
HIST-000208,AST-TRA-0091,SEC-DDU-PNBE,TRACTION,OHE_Inspection,2024-06-26,2.1,136698.5,101
HIST-000209,AST-S_A-0092,SEC-NDLS-GZB,S_AND_T,PointMachineOverhaul,2024-10-21,4.3,47254.57,336
HIST-000210,AST-S_A-0092,SEC-NDLS-GZB,S_AND_T,SignalTesting,2025-05-03,2.8,46674.42,305
HIST-000211,AST-S_A-0092,SEC-NDLS-GZB,S_AND_T,PointMachineOverhaul,2024-07-10,3.0,98786.99,284
HIST-000212,AST-S_A-0092,SEC-NDLS-GZB,S_AND_T,RelayInterlockingInspection,2025-05-04,2.3,87271.89,183
HIST-000213,AST-TRA-0093,SEC-PRYJ-DDU,TRACTION,OHE_Inspection,2025-09-05,3.7,70387.66,322
HIST-000214,AST-TRA-0093,SEC-PRYJ-DDU,TRACTION,SectionInsulatorAdjust,2024-11-10,1.5,61506.05,263
HIST-000215,AST-TRA-0093,SEC-PRYJ-DDU,TRACTION,SectionInsulatorAdjust,2025-04-10,3.7,144979.0,195
HIST-000216,AST-TRA-0093,SEC-PRYJ-DDU,TRACTION,ContactWireReplacement,2024-07-26,2.6,97419.56,312
HIST-000217,AST-S_A-0094,SEC-BRC-ADI,S_AND_T,SignalTesting,2026-01-21,4.4,124286.54,195
HIST-000218,AST-S_A-0094,SEC-BRC-ADI,S_AND_T,CableMeggering,2024-04-28,1.6,74030.31,114
