task_id,asset_id,section_id,department,maintenance_type,duration_hours,severity,urgency,deadline,required_workers,required_machine,is_safety_critical
TSK-CORR-00016,AST-S_A-0128,SEC-DDU-PNBE,S_AND_T,PointMachineOverhaul,1.5,2,2,2026-03-11T23:59:00,4,,False
TSK-CORR-00017,AST-S_A-0128,SEC-DDU-PNBE,S_AND_T,CableMeggering,3.0,3,3,2026-03-08T23:59:00,6,,False
TSK-CORR-00018,AST-ENG-0143,SEC-GZB-CNB,ENGINEERING,TrackTamping,2.0,2,3,2026-03-09T23:59:00,9,,False
TSK-CORR-00019,AST-S_A-0147,SEC-ST-BRC,S_AND_T,AxleCounterCalibration,2.5,3,4,2026-03-07T23:59:00,5,,False
TSK-CORR-00020,AST-S_A-0147,SEC-ST-BRC,S_AND_T,PointMachineOverhaul,2.0,2,3,2026-03-08T23:59:00,4,,False
TSK-CORR-00021,AST-ENG-0155,SEC-GZB-CNB,ENGINEERING,RailGrinding,2.0,2,2,2026-03-10T23:59:00,3,,False
TSK-CORR-00022,AST-TRA-0156,SEC-BCT-ST,TRACTION,TransformerOilFiltration,2.0,1,1,2026-03-14T23:59:00,7,,False
TSK-CORR-00023,AST-TRA-0156,SEC-BCT-ST,TRACTION,SectionInsulatorAdjust,2.0,1,1,2026-03-12T23:59:00,9,,False
TSK-CORR-00024,AST-TRA-0169,SEC-PRYJ-DDU,TRACTION,SectionInsulatorAdjust,3.0,1,1,2026-03-13T23:59:00,5,,False
TSK-CORR-00025,AST-ENG-0179,SEC-ST-BRC,ENGINEERING,JointWelding,2.0,2,3,2026-03-08T23:59:00,9,,False
TSK-CORR-00026,AST-S_A-0182,SEC-PRYJ-DDU,S_AND_T,SignalTesting,2.5,2,2,2026-03-10T23:59:00,4,,False
TSK-CORR-00027,AST-S_A-0182,SEC-PRYJ-DDU,S_AND_T,CableMeggering,2.0,2,2,2026-03-11T23:59:00,3,,False
TSK-CORR-00028,AST-ENG-0205,SEC-CNB-PRYJ,ENGINEERING,TrackTamping,1.5,2,2,2026-03-11T23:59:00,5,,False
TSK-CORR-00029,AST-ENG-0215,SEC-MAS-RU,ENGINEERING,RailGrinding,2.5,2,2,2026-03-12T23:59:00,5,BallastCleaningMachine,False
TSK-CORR-00030,AST-S_A-0240,SEC-MAS-RU,S_AND_T,RelayInterlockingInspection,2.5,2,2,2026-03-10T23:59:00,7,,False
TSK-CORR-00031,AST-S_A-0285,SEC-DDU-PNBE,S_AND_T,SignalTesting,2.5,1,1,2026-03-12T23:59:00,8,,False
TSK-CORR-00032,AST-S_A-0285,SEC-DDU-PNBE,S_AND_T,CableMeggering,2.0,2,3,2026-03-08T23:59:00,7,,False
TSK-CORR-00033,AST-ENG-0294,SEC-HWH-KGP,ENGINEERING,TrackTamping,1.5,3,4,2026-03-05T23:59:00,6,,False
TSK-CORR-00034,AST-ENG-0294,SEC-HWH-KGP,ENGINEERING,SwitchOverhaul,2.0,1,1,2026-03-14T23:59:00,5,,False
TSK-CORR-00035,AST-ENG-0294,SEC-HWH-KGP,ENGINEERING,BallastCleaning,2.5,2,2,2026-03-11T23:59:00,3,DuomaticTampingMachine,False
TSK-CORR-00036,AST-ENG-0296,SEC-NDLS-GZB,ENGINEERING,TrackTamping,2.0,1,1,2026-03-12T23:59:00,7,,False
TSK-PREV-00037,AST-ENG-0204,SEC-DDU-PNBE,ENGINEERING,JointWelding,2.0,2,2,2026-03-11T23:59:00,4,,False
TSK-PREV-00038,AST-ENG-0267,SEC-MAS-RU,ENGINEERING,JointWelding,2.0,2,2,2026-03-21T23:59:00,5,,False
TSK-PREV-00039,AST-TRA-0153,SEC-NDLS-GZB,TRACTION,TransformerOilFiltration,2.0,2,2,2026-03-17T23:59:00,5,,False
TSK-PREV-00040,AST-ENG-0010,SEC-PRYJ-DDU,ENGINEERING,JointWelding,2.0,2,2,2026-03-11T23:59:00,5,,False
TSK-PREV-00041,AST-TRA-0234,SEC-PRYJ-DDU,TRACTION,CatenaryRetensioning,1.5,2,2,2026-03-20T23:59:00,2,,False
TSK-PREV-00042,AST-TRA-0227,SEC-MAS-RU,TRACTION,SectionInsulatorAdjust,1.5,2,2,2026-03-16T23:59:00,5,,False
TSK-PREV-00043,AST-ENG-0197,SEC-PRYJ-DDU,ENGINEERING,TrackTamping,2.0,2,2,2026-03-11T23:59:00,5,,False
TSK-PREV-00044,AST-S_A-0110,SEC-DDU-PNBE,S_AND_T,RelayInterlockingInspection,2.5,2,2,2026-03-14T23:59:00,2,,False
TSK-PREV-00045,AST-TRA-0006,SEC-BCT-ST,TRACTION,TransformerOilFiltration,2.0,2,2,2026-03-16T23:59:00,4,,False
TSK-PREV-00046,AST-S_A-0176,SEC-BRC-ADI,S_AND_T,CableMeggering,2.5,2,2,2026-03-12T23:59:00,4,,False
TSK-PREV-00047,AST-S_A-0238,SEC-CNB-PRYJ,S_AND_T,RelayInterlockingInspection,1.0,2,2,2026-03-14T23:59:00,4,,False
TSK-PREV-00048,AST-TRA-0058,SEC-GZB-CNB,TRACTION,CatenaryRetensioning,1.0,2,2,2026-03-12T23:59:00,4,,False
TSK-PREV-00049,AST-TRA-0219,SEC-NDLS-GZB,TRACTION,CatenaryRetensioning,1.5,2,2,2026-03-18T23:59:00,4,,False
TSK-PREV-00050,AST-S_A-0046,SEC-ST-BRC,S_AND_T,PointMachineOverhaul,1.0,2,2,2026-03-04T23:59:00,5,,False
TSK-PREV-00051,AST-S_A-0183,SEC-CNB-PRYJ,S_AND_T,CableMeggering,1.0,2,2,2026-03-13T23:59:00,2,,False
TSK-PREV-00052,AST-TRA-0222,SEC-BRC-ADI,TRACTION,SectionInsulatorAdjust,1.0,2,2,2026-03-19T23:59:00,5,,False
TSK-PREV-00053,AST-TRA-0290,SEC-NDLS-GZB,TRACTION,SectionInsulatorAdjust,1.0,2,2,2026-03-09T23:59:00,5,,False
TSK-PREV-00054,AST-ENG-0212,SEC-PRYJ-DDU,ENGINEERING,TrackTamping,1.5,2,2,2026-03-17T23:59:00,3,,False
TSK-PREV-00055,AST-TRA-0149,SEC-PRYJ-DDU,TRACTION,OHE_Inspection,1.5,2,2,2026-03-17T23:59:00,3,,False
TSK-PREV-00056,AST-TRA-0166,SEC-MAS-RU,TRACTION,ContactWireReplacement,1.0,2,2,2026-03-09T23:59:00,3,,False
TSK-PREV-00057,AST-TRA-0079,SEC-HWH-KGP,TRACTION,OHE_Inspection,1.0,2,2,2026-03-20T23:59:00,2,,False
TSK-PREV-00058,AST-ENG-0114,SEC-CNB-PRYJ,ENGINEERING,JointWelding,1.5,2,2,2026-03-11T23:59:00,2,,False
TSK-PREV-00059,AST-TRA-0250,SEC-NDLS-GZB,TRACTION,ContactWireReplacement,1.0,2,2,2026-03-08T23:59:00,3,,False
TSK-PREV-00060,AST-ENG-0251,SEC-MAS-RU,ENGINEERING,SwitchOverhaul,1.5,2,2,2026-03-08T23:59:00,3,,False
TSK-PREV-00061,AST-TRA-0105,SEC-HWH-KGP,TRACTION,ContactWireReplacement,1.5,2,2,2026-03-15T23:59:00,4,,False
TSK-PREV-00062,AST-ENG-0043,SEC-MAS-RU,ENGINEERING,JointWelding,2.5,2,2,2026-03-11T23:59:00,4,,False
TSK-PREV-00063,AST-ENG-0282,SEC-CNB-PRYJ,ENGINEERING,SwitchOverhaul,2.0,2,2,2026-03-18T23:59:00,3,,False
TSK-PREV-00064,AST-ENG-0296,SEC-NDLS-GZB,ENGINEERING,BallastCleaning,2.0,2,2,2026-03-15T23:59:00,2,,False
TSK-PREV-00065,AST-TRA-0158,SEC-GZB-CNB,TRACTION,CatenaryRetensioning,2.5,2,2,2026-03-17T23:59:00,4,,False
TSK-PREV-00066,AST-ENG-0239,SEC-HWH-KGP,ENGINEERING,TrackTamping,2.0,2,2,2026-03-09T23:59:00,5,,False
TSK-PREV-00067,AST-TRA-0018,SEC-GZB-CNB,TRACTION,TransformerOilFiltration,1.5,2,2,2026-03-08T23:59:00,4,,False
TSK-PREV-00068,AST-S_A-0165,SEC-DDU-PNBE,S_AND_T,CableMeggering,2.5,2,2,2026-03-13T23:59:00,2,,False
TSK-PREV-00069,AST-S_A-0034,SEC-ST-BRC,S_AND_T,CableMeggering,1.5,2,2,2026-03-10T23:59:00,2,,False
TSK-PREV-00070,AST-S_A-0025,SEC-GZB-CNB,S_AND_T,PointMachineOverhaul,1.5,2,2,2026-03-04T23:59:00,2,,False
TSK-PREV-00071,AST-ENG-0216,SEC-CNB-PRYJ,ENGINEERING,JointWelding,1.5,2,2,2026-03-06T23:59:00,2,,False
TSK-PREV-00072,AST-ENG-0120,SEC-BRC-ADI,ENGINEERING,SwitchOverhaul,1.5,2,2,2026-03-12T23:59:00,5,,False
TSK-PREV-00073,AST-ENG-0008,SEC-DDU-PNBE,ENGINEERING,SwitchOverhaul,1.0,2,2,2026-03-11T23:59:00,2,,False
TSK-PREV-00074,AST-TRA-0091,SEC-DDU-PNBE,TRACTION,OHE_Inspection,1.0,2,2,2026-03-05T23:59:00,3,,False
TSK-PREV-00075,AST-S_A-0047,SEC-PRYJ-DDU,S_AND_T,AxleCounterCalibration,1.0,2,2,2026-03-07T23:59:00,2,,False
TSK-PREV-00076,AST-TRA-0074,SEC-NDLS-GZB,TRACTION,OHE_Inspection,1.5,2,2,2026-03-18T23:59:00,4,,False
TSK-PREV-00077,AST-S_A-0094,SEC-BRC-ADI,S_AND_T,RelayInterlockingInspection,2.0,2,2,2026-03-20T23:59:00,5,,False
TSK-PREV-00078,AST-TRA-0077,SEC-MAS-RU,TRACTION,TransformerOilFiltration,1.0,2,2,2026-03-19T23:59:00,4,,False
TSK-PREV-00079,AST-TRA-0287,SEC-DDU-PNBE,TRACTION,ContactWireReplacement,1.5,2,2,2026-03-05T23:59:00,3,,False
TSK-PREV-00080,AST-TRA-0061,SEC-NDLS-GZB,TRACTION,ContactWireReplacement,1.5,2,2,2026-03-05T23:59:00,3,,False
TSK-PREV-00081,AST-S_A-0078,SEC-GZB-CNB,S_AND_T,SignalTesting,2.0,2,2,2026-03-16T23:59:00,4,,False
TSK-PREV-00082,AST-ENG-0064,SEC-NDLS-GZB,ENGINEERING,SwitchOverhaul,1.5,2,2,2026-03-05T23:59:00,4,,False
TSK-PREV-00083,AST-ENG-0235,SEC-NDLS-GZB,ENGINEERING,BallastCleaning,2.0,2,2,2026-03-04T23:59:00,3,,False
TSK-PREV-00084,AST-TRA-0230,SEC-NDLS-GZB,TRACTION,TransformerOilFiltration,1.0,2,2,2026-03-06T23:59:00,3,,False
TSK-PREV-00085,AST-ENG-0112,SEC-HWH-KGP,ENGINEERING,JointWelding,1.5,2,2,2026-03-20T23:59:00,4,,False
TSK-PREV-00086,AST-ENG-0232,SEC-MAS-RU,ENGINEERING,BallastCleaning,1.5,2,2,2026-03-18T23:59:00,3,,False
TSK-PREV-00087,AST-S_A-0181,SEC-BRC-ADI,S_AND_T,AxleCounterCalibration,1.0,2,2,2026-03-12T23:59:00,2,,False
TSK-PREV-00088,AST-TRA-0145,SEC-BRC-ADI,TRACTION,TransformerOilFiltration,1.5,2,2,2026-03-21T23:59:00,2,,False
TSK-PREV-00089,AST-S_A-0240,SEC-MAS-RU,S_AND_T,RelayInterlockingInspection,1.0,2,2,2026-03-18T23:59:00,3,,False
TSK-PREV-00090,AST-ENG-0076,SEC-ST-BRC,ENGINEERING,SwitchOverhaul,1.5,2,2,2026-03-13T23:59:00,4,,False
TSK-PREV-00091,AST-TRA-0298,SEC-GZB-CNB,TRACTION,OHE_Inspection,2.5,2,2,2026-03-14T23:59:00,5,,False
TSK-PREV-00092,AST-S_A-0279,SEC-PRYJ-DDU,S_AND_T,AxleCounterCalibration,2.0,2,2,2026-03-15T23:59:00,4,,False
TSK-PREV-00093,AST-ENG-0098,SEC-PRYJ-DDU,ENGINEERING,BallastCleaning,1.0,2,2,2026-03-08T23:59:00,4,,False
TSK-PREV-00094,AST-TRA-0093,SEC-PRYJ-DDU,TRACTION,TransformerOilFiltration,1.0,2,2,2026-03-20T23:59:00,3,,False
TSK-PREV-00095,AST-S_A-0193,SEC-HWH-KGP,S_AND_T,CableMeggering,1.5,2,2,2026-03-11T23:59:00,3,,False
TSK-PREV-00096,AST-ENG-0026,SEC-GZB-CNB,ENGINEERING,RailGrinding,2.0,2,2,2026-03-06T23:59:00,3,,False
TSK-PREV-00097,AST-S_A-0233,SEC-PRYJ-DDU,S_AND_T,RelayInterlockingInspection,1.0,2,2,2026-03-16T23:59:00,2,,False
TSK-PREV-00098,AST-ENG-0060,SEC-HWH-KGP,ENGINEERING,BallastCleaning,1.0,2,2,2026-03-19T23:59:00,4,,False
TSK-PREV-00099,AST-S_A-0007,SEC-BCT-ST,S_AND_T,SignalTesting,2.5,2,2,2026-03-10T23:59:00,4,,False
TSK-PREV-00100,AST-S_A-0186,SEC-BCT-ST,S_AND_T,PointMachineOverhaul,1.5,2,2,2026-03-04T23:59:00,3,,False
TSK-PREV-00101,AST-TRA-0174,SEC-HWH-KGP,TRACTION,OHE_Inspection,1.5,2,2,2026-03-15T23:59:00,2,,False
TSK-PREV-00102,AST-ENG-0031,SEC-BCT-ST,ENGINEERING,RailGrinding,1.0,2,2,2026-03-06T23:59:00,2,,False
TSK-PREV-00103,AST-S_A-0023,SEC-BRC-ADI,S_AND_T,CableMeggering,2.5,2,2,2026-03-06T23:59:00,4,,False
TSK-PREV-00104,AST-ENG-0257,SEC-DDU-PNBE,ENGINEERING,BallastCleaning,1.0,2,2,2026-03-06T23:59:00,5,,False
TSK-PREV-00105,AST-S_A-0057,SEC-DDU-PNBE,S_AND_T,SignalTesting,1.5,2,2,2026-03-04T23:59:00,3,,False
TSK-PREV-00106,AST-ENG-0187,SEC-MAS-RU,ENGINEERING,SwitchOverhaul,2.5,2,2,2026-03-12T23:59:00,4,,False
TSK-PREV-00107,AST-ENG-0109,SEC-NDLS-GZB,ENGINEERING,JointWelding,2.5,2,2,2026-03-12T23:59:00,2,,False
TSK-PREV-00108,AST-ENG-0127,SEC-PRYJ-DDU,ENGINEERING,TrackTamping,2.5,2,2,2026-03-05T23:59:00,5,,False
TSK-PREV-00109,AST-S_A-0231,SEC-NDLS-GZB,S_AND_T,CableMeggering,1.0,2,2,2026-03-20T23:59:00,4,,False
TSK-PREV-00110,AST-TRA-0194,SEC-BCT-ST,TRACTION,OHE_Inspection,1.5,2,2,2026-03-12T23:59:00,4,,False
TSK-PREV-00111,AST-S_A-0130,SEC-PRYJ-DDU,S_AND_T,RelayInterlockingInspection,2.5,2,2,2026-03-13T23:59:00,5,,False
